ASN,Name
AS10100,UBS Group AG
AS12307,Sandro Bolliger trading as Bolliger Network Solutions
AS12333,Cheops Technology Switzerland SA
AS12342,Brack AG
AS12347,Virtualtec Solutions AG
AS12350,VTX Services SA
AS12387,TON Total optical Networks AG
AS12511,Die Schweizerische Post AG
AS12553,Andreas Grawehr
AS12620,Ticinocom SA
AS12649,Banque Pictet & Cie SA
AS12651,IP worldcom SA
AS12750,Softec AG
AS12776,Bank Vontobel AG
AS12928,Banque Cantonale Vaudoise
AS13030,Init7 (Switzerland) Ltd.
AS13154,Reishauer AG
AS13250,Backbone Solutions AG
AS13267,Zuercher Kantonalbank
AS13283,Bank Julius Baer & Co. AG
AS149476,iFog GmbH
AS15361,"UNION BANCAIRE PRIVEE, UBP SA"
AS15398,Werft22 AG
AS15432,Internet Services Inc
AS15513,Berner Kantonalbank AG
AS15517,Netstream Holding AG
AS15532,Raiffeisen Schweiz Genossenschaft
AS15547,netplus.ch SA
AS15575,FREITAG lab.ag
AS15576,NTS workspace AG
AS15585,Finanzdirektion des Kantons Bern
AS15600,Quickline AG
AS15623,Cyberlink AG
AS15661,Bank J. Safra Sarasin AG
AS15675,"Direction des Systemes d'Information, Etat de Vaud"
AS15716,Adfinis AG
AS15796,Salt Mobile SA
AS15978,Bobst MEX SA
AS16111,Online Consulting AG
AS16114,"UNION BANCAIRE PRIVEE, UBP SA"
AS16221,Init7 (Switzerland) Ltd.
AS16242,Gluecklich GmbH
AS16267,CH Regionalmedien AG
AS1836,green.ch AG
AS196618,Claudio Jeker
AS196621,Matthias Cramer
AS196651,Informatik Schaffhausen (ITSH)
AS196722,Schweizerische Nationalbank
AS196810,Moresi.Com SA
AS197202,Kistler Instrumente AG
AS197312,Avaloq Sourcing (Switzerland & Liechtenstein) SA
AS197352,Tinext Cloud SA
AS197371,RIPE NCC ASN block
AS197380,ITpoint Systems AG
AS197439,Sylon Hosting GmbH
AS197525,Etablissement d'assurance contre l'incendie et les elements naturels du Canton de Vaud (ECA)
AS197689,OVD Kinegram AG
AS197742,IBB Energie AG
AS198172,Azienda Multiservizi Bellinzona
AS198175,Kanton Zug
AS198249,Ops One AG
AS198326,OrtCloud GmbH
AS198385,AlpineDC SA
AS198402,Valentin Flueckiger trading as FlowHardware
AS198433,CKW Fiber Services AG
AS198635,Ascanius AG
AS198784,Eastern Property AG
AS198808,Spital Davos AG
AS198951,BLS AG
AS198964,BLUEQUANT AG
AS199003,iNetWorx AG
AS199047,Swiss Data Safe AG
AS199178,Micro Systems Marc Balmer
AS199218,Proton AG
AS199225,PFG Real Estate AG
AS199229,Exonik Sarl
AS199302,Maklerzentrum Schweiz AG
AS199403,DR. BAEHLER DROPA AG
AS199533,Vadian.Net AG
AS199553,ungleich glarus ag
AS199554,"U. Bachofen trading as ""bachofen.net"""
AS199562,Edificom SA
AS199567,Fr. Sauter AG
AS199587,solidIT AG
AS199591,Evaldo Gardenal
AS199661,KAYAK Europe GmbH
AS199662,Exion Networks SA
AS199802,CA Indosuez (Switzerland) SA
AS199811,Wifx SA
AS199819,"SUISA, Genossenschaft der Urheber und Verleger von Musik"
AS200107,Kaspersky Lab Switzerland GmbH
AS200233,Berner Fachhochschule
AS200281,Eurovision Services SA
AS200286,Elektrizitaetswerk Obwalden
AS200308,EMDYN AG
AS200417,Andermatt Swiss Alps AG
AS200471,Novartis AG
AS200544,Swiss Armed Forces - AFCSO
AS200584,Nagravision Sarl
AS200601,SwissNeutralNet
AS200647,Netrics AG
AS200713,Zettaplan AG
AS200726,Elmec Suisse SA
AS200759,Flow Swiss AG
AS200815,Coca-Cola HBC Schweiz AG
AS200888,InfoGuard AG
AS200925,Silicom SA
AS200979,Hosting eXperts Switzerland AG
AS200987,Stadt Chur
AS201103,Mercata Sagl
AS201134,Bucher + Suter AG
AS201155,embeDD GmbH
AS201199,Box Internet Services Sarl
AS201223,Schweizerische Rueckversicherungs-Gesellschaft AG
AS201228,Anapaya Systems AG
AS201319,"Stadt Zuerich, Organisation und Informatik"
AS201329,Gemeinde Reinach BL
AS201365,Nagravision Sarl
AS201416,Gebaeudeversicherung Bern (GVB)
AS201436,JURA Elektroapparate AG
AS201481,CDI Conseils et Developpements Informatiques SA
AS201586,Administration communale de Pully
AS201590,SOCAR Energy Holdings AG
AS201621,"VAUDOISE GENERALE, Compagnie d'Assurances SA"
AS201679,Reversing Labs International GmbH
AS201870,Bank-now AG
AS202032,GOLINE SA
AS202035,Talus Informatik AG
AS202123,Nationale Alarmzentrale NEOC
AS202172,Migadu-Mail Gmbh
AS202240,Innflow AG
AS202360,"The Global Fund to fight AIDS, Tuberculosis and Malaria"
AS202411,Flow Swiss AG
AS202424,Regio Energie Solothurn
AS202427,Ursin Filli
AS202451,Clue Security Services AG
AS202452,Flow Swiss AG
AS202458,Timothe Ember
AS202479,iFog GmbH
AS202691,Alt Gr SA
AS202714,Aarenet AG
AS202771,Codenmore AG
AS202850,Activatel Holding GmbH
AS203104,IBKR Financial Services AG
AS203130,Haute ecole d ingenierie et de gestion du canton de Vaud
AS203153,AVASAD - Association Vaudoise Aide et de Soins Domicile / Institut de droit public
AS203200,ALPEIN Software SWISS AG
AS203384,Helsana Versicherungen AG
AS203434,Open Circle AG
AS203521,Goyman SA
AS203564,IBKR Financial Services AG
AS203639,TEKNOLOGY SA
AS203660,WebPros International GmbH
AS203702,Art Basel GmbH
AS203718,Astelon GmbH
AS203732,DV Bern AG
AS203776,Mitto AG
AS203882,Altern8 SA
AS203892,Flow Swiss AG
AS203914,Edmond de Rothschild (Suisse) SA
AS204082,Philippe Bonvin
AS204095,CRIF AG
AS204178,Winet Voicetec Solutions AG
AS204284,Nestle Operational Services Worldwide SA
AS204333,Witalij Koweschnikow
AS204418,Sandro Bolliger trading as Bolliger Network Solutions
AS204438,Ruben Garbade
AS204478,EW Hoefe AG
AS204483,Skan AG
AS204510,Luzerner Kantonsspital
AS204572,Ofac societe cooperative
AS204590,Swiss International Air Lines AG
AS204594,Galliker Transport AG
AS204631,VIVANET GmbH
AS204697,Sunrise GmbH
AS2047,Hoffmann - La Roche Ltd.
AS204783,Ronal AG
AS204824,PSiDEO SA
AS204970,Manor AG
AS205067,swissns GmbH
AS205073,EQUANT AG
AS205218,Ente Ospedaliero Cantonale
AS205315,Jean-Remy Buchs
AS205357,winVS software AG
AS205377,Flow Swiss AG
AS205393,AEROPORT INTERNATIONAL DE GENEVE
AS205678,Peoplefone AG
AS205699,Flow Swiss AG
AS205737,Naveum AG
AS205747,VNV SA
AS205815,SIX Group Services AG
AS20582,Beeone Communications SA
AS205920,iFog GmbH
AS205929,Abzieher GmbH
AS205959,Convotis Schweiz AG
AS206032,Coop Pronto AG
AS206104,Phinom AG
AS20612,SwissIX Internet Exchange
AS206123,Xelon AG
AS206137,Societa Elettrica Sopracenerina SA (SES)
AS206147,Banque Lombard Odier & Cie SA
AS206201,Devantis SA
AS206214,Telco Pack SA
AS206225,Union Postale Universelle
AS206261,DynaNet GmbH
AS206291,Klixa IT GmbH
AS206330,Manuel Merkli
AS206402,Orion Innovation AG
AS206433,SITA Switzerland Sarl
AS206466,Palexpo SA
AS20648,TMN SA
AS206484,oriented.net GmbH
AS206492,Nexphone AG
AS206522,ISP Datacenter SARL
AS206567,TX Group AG
AS206616,wwcom AG
AS206662,Inventx AG
AS206779,Hatebur Umformmaschinen AG
AS206790,Banque de Commerce et de Placements SA
AS206794,Metalor Technologies SA
AS206857,MLS Communications Sarl
AS206891,"Kanton Luzern, Dienststelle Informatik"
AS206969,Hewlett Packard International Sarl
AS207014,Radix Technologies SA
AS207076,ANTOINE JACOT-DESCOMBES
AS207143,hosttech GmbH
AS207149,Julien Sansonnens
AS207161,Nagravision Sarl
AS207241,IBKR Financial Services AG
AS207271,Swiss Datalink AG
AS207308,Bank Julius Baer & Co. Ltd
AS207335,i-Community AG
AS207378,DIRK MUTTERLOSE
AS207395,MAXONY Suisse SA
AS20743,SIX Swiss Exchange AG
AS207482,MSC Cruises SA
AS207624,Signalhorn AG
AS207646,Nexthink SA
AS207688,"Saitis Network, N.Desir"
AS207733,Iway AG
AS207758,Hosteur SA
AS207907,Elia Kessler
AS207996,ungleich glarus ag
AS208065,Leica Geosystems AG
AS208172,Proton AG
AS208216,Tinext Cloud SA
AS208224,Galaxyweb AG
AS208260,Daniel Stocker
AS208305,Viseca Payment Services AG
AS208316,Elca Informatique SA
AS208378,BIG IT AG
AS208381,Romande Energie SA
AS208510,Axians Infoma Schweiz AG
AS208608,Haemoglobin
AS208613,EternalNet AG
AS208650,Sonio AG
AS20868,ABB Information Systems Ltd
AS208731,RULEMATCH AG
AS208813,Galexis AG
AS208836,Banca Populare di Sondrio (Suisse) SA
AS208921,Loewenfels Partner AG
AS20893,SYSTEM-CLINCH
AS208948,e-Durable SA
AS208980,Sauber Motorsport AG
AS209042,TiZoo Sarl
AS209103,Proton AG
AS20914,Gluecklich GmbH
AS20932,Services Industriels de Geneve
AS209346,UMB AG
AS209494,Banque Eric Sturdza SA
AS209533,iFog GmbH
AS209582,Goldinger IT GmbH
AS209615,Antonio Parrinello trading as Nakoma AG
AS209807,Sandchaschte
AS209822,BKW Energie AG
AS209833,Aroga GmbH
AS209848,UBS Card Center AG
AS209878,RackFarm
AS20988,MTF Solutions AG
AS209880,VZ Corporate Services AG
AS209886,LAKE Solutions AG
AS209898,ungleich glarus ag
AS210018,Bank CIC (Schweiz) AG
AS210036,Rayhaan Ahmad Jaufeerally
AS210076,Beat Joerg
AS210231,Sysdex AG
AS210308,Schweizer Paraplegiker-Zentrum Nottwil AG
AS210346,Phoenix Systems AG
AS210360,Leonard Paschek
AS210378,Kantonspolizei Zuerich
AS21040,Datapark AG
AS210468,Eniwa AG
AS21047,Deutsche Bank (Suisse) SA
AS210500,Stadt Winterthur
AS210602,Marbell AG
AS210688,Benjamin Leroy
AS21069,METANET AG
AS210736,Hamilton Services AG
AS210742,SIX Group Services AG
AS210752,Global Legal Entity Identifier Foundation
AS210861,Open Networks Association
AS210983,Digris AG
AS210998,SPS Switzerland AG
AS211003,Finn Linsbauer
AS211096,Gluecklich GmbH
AS211174,St. Gallisch-Appenzellische Kraftwerke AG
AS211182,Television Sierre SA
AS211197,Informatikleistungszentrum Obwalden - Nidwalden (ILZ)
AS21124,mailXpert GmbH
AS211452,Kanton Appenzell Ausserrhoden
AS211464,Prisma Group SA
AS211472,SwissLink Carrier AG
AS211540,Stiftung Kantonsspital Graubuenden
AS211565,Boschung Mecatronic AG
AS211569,naturenergie holding AG
AS211833,itship GmbH
AS211837,Helbling Networks GmbH
AS211861,netwolk GmbH
AS211894,ungleich GmbH
AS21190,Alpiq AG
AS212009,M&S Software Engineering AG
AS212014,Nugolo AG
AS212125,Franz Abzieher
AS212141,IBKR Financial Services AG
AS21217,Infrastructure Switzerland Colo Sarl
AS21222,Rolex SA
AS212310,Nielsen International SA
AS21232,Genossenschaft GGA Maur
AS212323,Daedalean AG
AS212374,Virtuozzo International GmbH
AS212378,Aleksei Papulovskii
AS212506,swizzonic ltd
AS21254,CITCO TECHNOLOGY MANAGEMENT (SWITZERLAND) SA
AS212629,Sankt Galler Stadtwerke
AS21269,Christian Wittenhorst trading as Progon Network Engineering
AS21273,Swisscom (Schweiz) AG
AS212777,Schweizerische Mobiliar Versicherungsgesellschaft AG
AS212823,Fuehrungsunterstuetzungsbasis FUB
AS212865,netconnect AG
AS212920,Addax Energy SA
AS212944,Thurgroup Partners GmbH
AS212981,Schiller AG
AS213011,FHVi (federation des hopitaux vaudois informatique)
AS213044,Stiftung Auffangeinrichtung BVG
AS213059,IT-Zentrum Emmental AG
AS213076,Graian Capital Management SA
AS213081,ungleich glarus ag
AS213196,Universitaetsspital Basel
AS213270,Cysec SA
AS213288,iFog GmbH
AS213298,Cortex IT SA
AS213307,Idorsia Pharmaceuticals Ltd
AS213376,HERVE ROUSSEAU
AS213418,BE BRAVE AG
AS213758,Global Legal Entity Identifier Foundation
AS213913,Unlimited Network AG
AS213924,MOUNT10 AG
AS213929,UP-NETWORK Sarl
AS21405,T-Systems Schweiz AG
AS214060,Seabix AG
AS214163,Republique et Canton du Jura
AS214204,Zenvoo Sagl
AS214217,Etat du Valais
AS214237,setaiga GmbH
AS214274,Informaticon AG
AS21434,Clariant International Ltd.
AS214358,MTEL Schweiz GmbH
AS21436,almanid group GmbH
AS214476,Robert Ressl
AS21449,ETAT DE GENEVE
