ASN,Name
AS10126,Taiwan Internet Gateway
AS10133,Chief Telecom Inc.
AS10135,EASPNET Inc.
AS10229,Yahoo Inc.
AS131142,Asia Pacific On-Line Service Inc.
AS131143,Chinatrust Commercial Bank
AS131144,ASUSTek COMPUTER INC.
AS131147,Taiwan Li Run Ltd.
AS131148,Bank Of Taiwan
AS131149,"Yuan-Jhen Info., Co., Ltd"
AS131151,"Imcloud Technology Co., Ltd."
AS131164,61 Ming Chuan Road Section 1
AS131273,"CORE WINNER CO.,LIMITED"
AS131584,"Taiwan Intelligent Fiber Optic Network Co.,Ltd."
AS131586,"New Century InfoComm Tech Co., Ltd."
AS131587,Mega International Commercial Bank
AS131588,"Financial Information Service Co., Ltd."
AS131589,Foxconn Technology Group
AS131591,Ambit Microsystem Corporation
AS131593,PEGATRON
AS131595,Kingston Technology Fareast Corp.
AS131596,TBC
AS131599,Wistron Corporation
AS131600,Chief Telecom Inc.
AS131601,Dynamic Computing Technology
AS131602,"Hsin Yeong An Cable TV Co., Ltd."
AS131605,"Inventec Besta CO.,LTD"
AS131606,Chief Telecom Inc.
AS131607,"Digidom CableTV Co., LTD."
AS131609,APNIC 32-bit ASN block
AS131613,"Sky Digital Co., Ltd."
AS131617,"Centroid Networking Co., Ltd. desc: 7F.-3, NO.119, SEC. 2, MINSHENG E. RD., ZHONGSHAN DIST.,"
AS131618,Carl International Information ltd.
AS131619,Jigentec CO. LTD.
AS131620,SERVCOMPUTING INC
AS131621,Taiwan Network Information Center
AS131623,SHOPEE (TAIWAN) CO. LTD.
AS131626,"NSS INT'L CO., LTD."
AS131627,"Peicity Digital Cable Television., LTD"
AS131628,"Tai-Fu Cloud Co., Ltd."
AS131629,"CKMATES INTERNATIONAL CO., LTD"
AS131630,APNIC 32-bit ASN block
AS131631,APNIC 32-bit ASN block
AS131633,Sakura Internet Ltd.
AS131634,MOBA Private Limited Taiwan Branch
AS131635,Airpay TW
AS131636,"WANIN INTERNATIONAL CO., LTD."
AS131637,FastCould
AS131638,APNIC 32-bit ASN block
AS131639,Taiwan Intelligent Home Corp.
AS131642,"Pittqiao Network Information Co.,Ltd."
AS131643,"Chirue Technology Co., Ltd."
AS131644,Taiwan Network Information Center
AS131645,"KLICKKLACK CO., LTD."
AS131646,"CORE WINNER CO.,LIMITED TAIWAN BRANCH"
AS131649,"Taiwan Mobile Co., Ltd."
AS131650,"Taiwan Mobile Co., Ltd."
AS131652,NETGUARD INTERNATIONAL
AS131653,APNIC 32-bit ASN block
AS131655,NAN YA PLASTICS CORPORATION
AS131657,"Hong Da Storage Equipment Co., Ltd."
AS131658,"Game Soul Technology Co., Ltd."
AS131659,NETEASE
AS131660,"Data Communication Business Group,"
AS131662,Denpa Ltd.
AS131663,GIGABYTE
AS131666,"Haosing Technology Co., Ltd."
AS131667,"GRONEXT CO., LTD."
AS131668,Taiwan Digital Streaming Co.
AS131671,"FANTASY TECHNOLOGY CO., LTD."
AS131676,GMI Computing International LTD. Taiwan Branch (CAYMAN ISLANDS REPUBLIC)
AS131677,"OpenFor Telecommunications Co., Ltd."
AS131680,Compal Electronics
AS131681,QISDA CORPORATION
AS131683,InnoLux Display Corp.
AS132157,"10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,"
AS133089,Qualcomm Inc
AS133375,"CHUAN KAI INTERNATIONAL CO., LTD"
AS134094,"Serverfield Co., Ltd."
AS134823,"Sky Digital Co., Ltd."
AS135596,Hans Online Services
AS136462,Mootech Asia
AS139065,"Apeiro8 Technology Co., Ltd."
AS139903,RETN Telecoms Ltd.
AS140079,Garmin International Inc
AS141742,Magna Hosting Ltd
AS142005,"NC Taiwan Co., Ltd."
AS142046,1033 Network Information Co.
AS142061,"CORE WINNER CO.,LIMITED TAIWAN BRANCH"
AS149423,Yu-Shan Tsai
AS149791,StarVerse Network Ltd.
AS150137,Sky Wise International Limited Taiwan Branch
AS150755,NUNLINE
AS150756,Floppy Ltd.
AS150766,CoCoDigit Ltd
AS150767,"Shi Ji Industrial Co., Ltd."
AS150768,"Cloud Walker Co., Ltd."
AS150769,Digital Explorer Technology
AS150770,SHINE TECH INFORMATION COMPANY LIMITED
AS150771,FUYU Group Inc.
AS150772,National Credit Card Center of R.O.C.
AS151188,404 Network Information Co.
AS152611,Beidou LTD
AS152612,"Aoter Networks Co., Ltd"
AS152613,Code Up Technology Ltd.
AS152614,"IMPROVE SYSTEM TECHNOLOGY CO., LTD."
AS152615,Chummy Technology Ltd.
AS152616,BHIS Ltd.
AS152617,"PPTECH co., ltd."
AS152619,Very Fast Network LTD
AS152622,"Powerhouse Co., LTD"
AS152623,"Woquan Technology Co., Ltd."
AS152624,UWay Information Technology Inc.
AS152626,Cloudbase Network CORP.
AS152628,DBS Bank (Taiwan) Ltd
AS153891,CloudSIM Corporation Ltd.
AS1659,Taiwan Academic Network (TANet) Information Center
AS17408,AboveNet Communications Taiwan
AS17413,Dodo Ltd.
AS17415,Ming Yi Tea Farm
AS17416,"DWINS Digital Service Corp.,"
AS17420,"Acer e-Enabling Data Center, Inc."
AS17421,Mobile Business Group
AS17502,Kuang Shih International Ltd. Ltd
AS17651,AboveNet Communications Taiwan
AS17709,Asia Pacific Telecom
AS17710,President Information Corp.
AS17711,National Dong Hwa University
AS17712,National Chung Cheng University
AS17713,Ministry of Education Computer Center
AS17716,National Taiwan University
AS17717,"Ministry of Education Computer Center Taipei, Taiwan"
AS17718,Taiwan Network Information center
AS17809,VEE TIME CORP.
AS18040,"Aoter Networks Co., Ltd"
AS18041,Taiwna Digital Streaming Co.
AS18042,Koos Broadband Telecom
AS18043,"Department of Education, Hsinchu City"
AS18044,"Kanrays Technology Co., Ltd."
AS18045,SinoPac Holdings Corporate Network
AS18046,DongFong Technology Co. Ltd.
AS18047,National Tsing-Hua University
AS18049,Taiwan Infrastructure Network Technologie
AS18177,National Cheng Kung University
AS18178,"Pittqiao Network Information Co.,Ltd."
AS18179,MiTAC Inc.
AS18180,Taiwan Network Information Center
AS18181,National Health Research Institutes
AS18182,Sony Network Taiwan Limited
AS18183,National Center for Research on Earthquake Engineering
AS18185,"4F, No.114, Sec.1, Chung-Shiao W. Road"
AS18410,"104 Information Technology Co., Ltd."
AS18411,"EDT Network Services Limited Co,Ltd."
AS18412,"Far EastTone Telecommunication Co., Ltd."
AS18413,Great Taipei Broadband Company Ltd.
AS18415,B-WIZ Technology
AS18419,DaDa Broadband LTD.
AS18420,National Central University
AS18421,Taishin International Bank
AS18422,Industrial Technology Research Institute
AS18423,"RAID Networks Co., Ltd."
AS18424,CM Craft Aesthetic
AS18426,National Applied Research Laboratories
AS18427,SUSTAINATEGY LIMITED
AS18428,Mercycat Network Inc.
AS18429,"Extra-Lan Technologies Co., LTD"
AS198954,JIAN HUI EN
AS199203,CHEN ZHI-HAN
AS201943,HSIEH HUAN-YU
AS202178,"Sky Digital Co., Ltd."
AS202820,Chih-Jen CHENG
AS202881,Wen-Lung Chen
AS203405,Lin Kai-Lun
AS203472,PENG YUJEN
AS203843,"WANG,XING-KAI"
AS204677,"Sky Digital Co., Ltd."
AS204934,"InnoCrystal Co., Ltd."
AS205013,SHIH-CHIEH YU
AS205329,Kai-Jung Chen
AS205417,HSUAN-SHENG CHEN
AS205592,HUANG CHI-HAN
AS206434,CHENG-CHIH TSAI
AS207344,Chao-Ju Chen
AS207389,JING-SHIUN-CHEN
AS207468,Li Heng Yu
AS207469,Sung Yu Li
AS207705,Jyun-Kai Hu
AS208223,SHU-HAO TUNG
AS210384,MAOLIN HUANG
AS210445,CHEN-YI WANG
AS210932,Yu-Cheng Kuo
AS211749,BO SIANG CHEN
AS212154,Wei-Cheng Tsai
AS212279,Yuna Lee
AS212331,Ta-Li Lai
AS212358,WeiXuan Chang
AS212359,Ming-Ray Hsu
AS212360,Jimmy Pan
AS212425,Yuna Lee
AS212969,ChiaChin Tsai
AS213428,CHIEH SHENG LIN
AS213430,HSIANG-LI CHAN
AS213617,KANG ZHENG OO
AS214030,Kai-Wen Zheng
AS214821,"Wen-Ju, Chiang"
AS214841,RUI PIN LAI
AS215191,Dong-Han Yang
AS215256,Ming-Lin Yu
AS215451,Ping Chun Huang
AS215934,XU JIA QIAN
AS215993,LIU AN LUN
AS216123,ZHU-YUAN JIANG
AS216198,LIN ZE YANG
AS216432,FENG SHENG YUAN
AS23675,"Taiwan Semiconductor Manufactoring Company, Ltd."
AS24154,"Asia Pacific Broadband Fixed Lines Co., Ltd."
AS24155,Asia Pacific Broadband Wireless Communications Inc
AS24158,"Taiwan Mobile Co., Ltd."
AS24162,"Mingxi Technology Co., Ltd."
AS24163,UNION BROADBAND NETWORK
AS24164,UNION BROADBAND NETWORK
AS24165,UNION BROADBAND NETWORK
AS24168,Cloudmax Inc.
AS24169,Chuan Chan Co. Ltd.
AS24172,Chuan Chan Co. Ltd.
AS24506,Yahoo Global Holdings B.V. Taiwan Branch
AS3462,Data Communication Business Group
AS38042,"Sky Digital Co., Ltd."
AS38254,Internet Technology Laboratory
AS38797,Internet Service Provider. Taiwan
