ASN,Name
AS196854,"LLC ""Isatel"" Tajikistan"
AS199303,CJSC Spitamen Bank
AS199793,Bank Eskhata OJSC
AS202331,Dushanbe City Bank CJSC
AS204106,CJSC Babilon-Mobile
AS205507,NURI KOINOT LLC
AS206107,Smart Grupp Ltd.
AS208536,"CJSC MDO ""IMON INTERNATIONAL"""
AS208592,"LLC ""NET SOLUTIONS"""
AS208885,Noyobzoda Faridduni Saidilhom
AS210053,"CJSC ""Humo Bank"""
AS211203,"State unitary enterprise ""Savings bank of the Republic of Tajikistan ""Amonatbonk"""""
AS213631,"LLC ""KOINOT INNOVATION AND TECHNOLOGY"""
AS214157,Customs service under the Government of the Republic of Tajikistan
AS214582,"CJSC ""INVESTMENT CREDIT BANK, TAJIKISTAN"""
AS215095,Seganj LLC
AS215533,LLC Zaitoon technology
AS215814,Sinamo 2017 LLC
AS24722,LLC Babilon-T
AS34557,Tacom LLC
AS42713,INTERCOM LTD
AS43030,Tajik Academician Research and Educational Network Association
AS43077,CJSC International Bank of Tajikistan
AS43197,Closed Joint Stock Company TT mobile
AS44027,Spitamen Alexander Internet LLC.
AS44961,"Open Joint-Stock Company ""Commerce Bank of Tajikistan"""
AS47139,CJSC INDIGO TAJIKISTAN
AS48184,Tax Committee under the Government of the Republic of Tajikistan
AS48887,CJSC INDIGO TAJIKISTAN
AS49472,Eastera Ltd.
AS49945,OJSC Alif Bank
AS51346,"Opened Joint Stock Company ""Tojiktelecom"""
AS57443,Oshno group LLC
AS60101,Dushanbe City Bank CJSC
AS8847,"CJSC ""Telecomm Technology"""
