ASN,Name
AS22354,University of Dar es Salaam
AS31810,ECHOTEL TANZANIA LIMITED
AS327706,"Power and Network, Backup Company Ltd"
AS327714,Zanzibar Connections Company Limited
AS327728,Cable Television Network (CTV) Limited
AS327730,PPF PENSION FUND
AS327771,Milan Cable
AS327774,TANZANIA POSTAL BANK
AS327778,Bank of Tanzania
AS327792,Computer Sales & Services
AS327795,e-Government Authority
AS327819,AZAM MEDIA LIMITED
AS327844,TISPA - Tanzania Internet Service Providers Association
AS327852,TISPA - Tanzania Internet Service Providers Association
AS327859,Capital Technologies
AS327885,Viettel Tanzania PLC
AS327888,NMB Bank Public Limited Company
AS327900,Simply Computers Tanzania Ltd
AS327912,National Health Insurance Fund (NHIF)
AS328017,TANZANIA COMMUNICATIONS REGULATORY AUTHORITY  (TZCERT)
AS328018,National Housing Corporation
AS328022,TISPA - Tanzania Internet Service Providers Association
AS328075,Gadgetronix.Net Ltd
AS328139,Business Registrations and Licensing Agency (BRELA)
AS328294,TISPA - Tanzania Internet Service Providers Association
AS328325,TISPA - Tanzania Internet Service Providers Association
AS328326,TISPA - Tanzania Internet Service Providers Association
AS328436,Flashnet Technologies Limited
AS328478,Exim Bank (Tanzania) Ltd
AS328499,NEXIS GLOBAL LIMITED
AS328504,National Identification Authority
AS328514,Net Solutions Limited
AS328545,Softnet Technologies Limited
AS328557,DIAMOND TRUST BANK TANZANIA LIMITED
AS32860,Cats-Net Limited
AS328607,UBX (TANZANIA) LIMITED
AS328676,Zanzibar Information Communication Technology Infrastructure Agency (ZICTIA)
AS328700,TISPA - Tanzania Internet Service Providers Association
AS328751,CRDB BANK PLC
AS328775,AZAMPAY TANZANIA LIMITED
AS328783,SELCOM PAYTECH LTD
AS328805,ZAPTECH LIMITED
AS328838,AIM Firms Limited
AS328845,The Governing Body of College of Business Education
AS328849,Nexusnet Limited
AS328865,The Office of the Minister of State in the President's Office
AS328885,Kenya Commercial Bank (Tanzania) Limited
AS328895,WINCABLE  AND INTERNET LIMITED
AS328950,Green Telecom Limited
AS328980,International School of Tanganyika
AS329013,World Mobile Chain Limited
AS329034,Hawaritha investment Limited
AS329155,ATEB TECHNOLOGIES LIMITED
AS329172,Ictpack Solutions Limited
AS329221,TANZANIA ELECTRIC SUPPLY COMPANY LIMITED
AS329242,Equity Bank Tanzania Limited
AS329251,NATIONAL BANK OF COMMERCE LIMITED
AS329292,GEEZNET TECHNOLOGIES LIMITED
AS329304,THE TRUSTEES OF THE TANZANIA NATIONAL PARKS
AS329322,BARMEDAS.COM LTD
AS329393,FASTHUB SOLUTIONS LIMITED
AS329413,Kasi Networks Limited
AS329420,Azania Bank Limited
AS329448,AZAM MEDIA LIMITED
AS329450,Tanzania Commission for Science and Technology
AS329488,Dodoma FiberCo Limited
AS329495,Access Bank Tanzania Limited
AS329524,ZANZIBAR CABLE TELEVISION LIMITED
AS329529,Kinetic Networks Limited
AS329530,Savanna Fibre (Tanzania) Ltd
AS329548,DATA LAB (T) LIMITED
AS329603,SKT TANZANIA LIMITED
AS329627,Wingu Tanzania Limited
AS329640,CHITA TELECOM LIMITED
AS329647,SPRINT TANZANIA LIMITED
AS329677,Telxer Enterprise Limited
AS33765,TANZANIA TELECOMMUNICATIONS CO. LTD
AS36908,Vodacom Tanzania Ltd
AS36909,Habari Node Public Limited
AS36930,MIC TANZANIA LTD
AS36965,WIA Tanzania
AS37013,Satcom Networks Africa
AS37027,Simbanet (T) Limited
AS37035,MIC TANZANIA LTD
AS37045,Tanzania Network Information Centre (tzNIC)
AS37084,Simbanet (T) Limited
AS37085,The Open University of Tanzania
AS37126,Bell Communications Ltd
AS37133,Airtel Tanzania
AS37143,Arusha Art Limited
AS37182,Tanzania Education And Research Network
AS37218,The University of Dodoma
AS37349,Aptus Solutions Ltd
AS37362,Tanzania Ports Authority
AS37364,TANZANIA COMMUNICATIONS  REGULATORY AUTHORITY (TCRA)
AS37419,Tanzania Revenue Authority
AS37454,BNH Communication Solutions
AS37496,Aga Khan University
AS37769,TISPA - Tanzania Internet Service Providers Association
