ASN,Name
AS10089,Total Access Communication PLC.
AS10227,Institute Rajabhat Suandusit
AS131089,National Telecom Public Company Limited
AS131090,National Telecom Public Company Limited
AS131162,Internet Service Provider in Thailand
AS131221,Petchaburi Rajabhat University
AS131246,"LOEI university network ,LOEI, Thailand"
AS131257,"Suratthani ratjabhat university, Thailand"
AS131293,TOT Public Company Limited
AS131445,Advance Wireless Network
AS131447,POPIDC powered by CSLoxinfo
AS131460,9 UM Tower
AS131789,"Asahi Kasei International IT Asia Pacific Co., LTD"
AS132009,"True Internet Co., Ltd."
AS132013,True Internet assigned for ICS
AS132032,Total Access Communication PLC.
AS132061,Realmove Company Limited
AS132063,KITTI BOONMEE
AS132117,Ministry of Interior
AS132133,"SB.Furniture House Co.,Ltd"
AS132172,Fiscal Policy Office
AS132201,Land and Houses Bank Public Company Limited
AS132250,Princess of Naradhiwas University
AS132280,Symphony Communication (Thailand) PCL.
AS132300,"NIPA TECHNOLOGY CO., LTD"
AS132482,Rajamangala University of Technology Rattanakosin
AS132493,"Lampang-Meatha Rd., Thambon Chomphu Ampher Maung Lampang 52100"
AS132514,"Ubon Ratchathani University,"
AS132541,"Better Web Co., Ltd"
AS132545,Sapanan General Food
AS132605,"KTB General Services Co.,Ltd"
AS132618,Real Future Company Limited
AS132681,"AIN Globalcomm Limited., Company."
AS132821,"Trinity Securities Co., Ltd."
AS132838,"United Information Highway Co.,Ltd."
AS132866,Rajamangala University of Technology Suvarnabhumi under UniNet Network
AS132876,Symphony Communication (Thailand) PCL.
AS132879,Rajabhat Mahasarakham University
AS133042,Office of the basic education commission
AS133063,KGI Securities (Thailand) PLC.
AS133163,PP Ontime Company Limited
AS133167,"TMB Bank, Phahonyothin branch. ,"
AS133193,Provincial Electricity Authority (PEA)
AS133328,Bangkok Patana School
AS133376,"LAZADA Co.,Ltd."
AS133481,AIS Fibre
AS133504,"PAOCLOUD CO., LTD."
AS133529,Land and Houses Bank Public Company Limited
AS133540,KIRZ at Telehouse Thailand
AS133543,"DTAC TriNet Co.,Ltd."
AS133581,"Thailand Post Co,.Ltd."
AS133760,"Electronics Extreme Co., Ltd"
AS133761,Mr. Naphat
AS133791,Teledirect Telecommerce
AS133848,Internet Datacenter Network
AS133880,The Thai Red Cross Society
AS133907,Mr. Danai Chudtong
AS133909,Siam E Business Limited Partnership
AS133919,"University campus network, Rajamangala University of Technology Phra Nakhon"
AS133947,Metropolitan Electricity Authority
AS133956,"Toptrader Co.,Ltd"
AS134064,The Chulabhorn Graduate Institute Campus Network Member of UniNet
AS134073,The Revenue Department
AS134089,JasTel Network
AS134095,National ITMX Company Limited
AS134100,"Express Data Co.,Ltd"
AS134137,True Internet Data Center Company Limited
AS134162,ADVANCED WIRELESS NETWORK COMPANY LIMITED
AS134166,Internet Data Center Service
AS134240,Super Broadband Network Company Limited
AS134461,National Health Security Office (NHSO)
AS134509,1-TO-ALL COMPANY LIMITED
AS134565,National Telecom Public Company Limited
AS134592,"Shopee (Thailand) Co., Ltd."
AS134682,KGI Securities (Thailand) Public Company Limited
AS134686,Krungsri Securities Public Company Limited
AS134690,Chulachomklao Royal Military academy member of UniNet
AS134695,Mass Rapid Transit Authority of Thailand
AS134718,OSD Internet Company Limited
AS134811,Treasury Department
AS134826,"Softde'but Co.,LTD."
AS134839,PropertyGuru Pte Ltd
AS135012,Suan Dusit University
AS135034,Planet Communications Asia Public Company Limited
AS135063,POP NIX COMPANY LIMITED
AS135129,Rajamangala University of Technology Tawan-ok(Bangpra Campus)
AS135141,Rajamangala University of Technology Lanna
AS135290,SAN-IDC
AS135329,Small And Medium Enterprise Development Bank Of Thailand c/o Symphony Communication Public Company L
AS135381,SiS Distribution (Thailand) Public Company Limited descr: (@Genesis Data Center)
AS135419,"Cableconnect Co.,Ltd"
AS135511,CS Loxinfo Public Company Limited
AS135528,Muban Chombueng Rajabhat University
AS135529,Interlink Telecom Public Company Limited
AS135566,National Telecom Public Company Limited
AS135586,INTERLINK COMMUNICATION PCL.
AS135588,Rajamangala University of Technology Tawan-ok (Chakrabongse Bhuvanarth Campus)
AS135616,Name: Thaksin University
AS135620,"69 Praksa, Maueng, Samukprakarn,"
AS135635,Tourism authority of Thailand
AS135670,"Thai Insurers Datanet Co., Ltd."
AS135676,National Institute for Emergency Medicine
AS136023,"PTE Group Co., Ltd"
AS136035,Department of Tourism
AS136040,"Mitr Phol Sugar Corp., Ltd."
AS136158,"UOB Asset Management (Thailand) Co., Ltd."
AS136182,Bualuang-ventures-company-limited
AS136393,Symphony Communication (Thailand) PCL.
AS136457,"Tesco Lotus - 2nd Floor, 3109 Ladpro Road,"
AS136458,"BKNIX Co.,Ltd."
AS136485,"Chunghwa Telecom (Thailand) Co., Ltd."
AS136496,Dhurakij Pundit University
AS136523,"COLODEE DIGITAL NETWORK CO.,LTD."
AS136538,AIS SUPER WiFi
AS136565,CyberWorld
AS136566,"CyberWorld Data Center Co.,Ltd."
AS136579,"Fuji Xerox (Thailand) Co., Ltd."
AS136581,Apple Wealth Securities
AS136624,Sakon Nakhon Rajabhat University
AS136737,Rajamangala University of Technology Krungtep
AS136781,Department of Alternative Energy Development and Efficiency
AS136906,NJ Network Company Limited 96/26
AS136942,Brothers Pictures Company Limited
AS137058,Aeronautical Radio of Thailand Ltd.
AS137198,Phranakorn Rajabhat University
AS137241,PibulSongkramRajabhat University
AS137261,Education Network
AS137392,KTB Securities (Thailand) Company Limited
AS137394,Dhonburi Rajabhat University
AS137422,Bupa Health Insurance (Thailand) Public Company Limited
AS137489,Pi Securities Public Company Limited
AS137545,KPN AWARD
AS137546,"Faculty of Engineering , Rajamangala University of"
AS137557,"International gateway co., Ltd"
AS137566,Supernap Thailand Company Limited
AS137850,Mae Fah Luang University
AS137856,Thai Network Information Center Foundation
AS137875,"Kondotthai Co., Ltd."
AS137876,Tencent (Thailand) Company Limited
AS137885,Capital Nomura Securities PLC
AS137919,"BTS Building, 1000 Phahonyothin Rd., Chomphon, Chatuchak Bangkok 10900 Thailand"
AS137977,ONE TO ONE CONTACTS PUBLIC COMPANY LIMITED descr: Bangkok
AS138003,Royal Police Cadet Academy
AS138156,"CSNE Co., Ltd."
AS138204,"Sophon Broadband Networks co.,ltd"
AS138215,Royal Thai Police
AS138344,"MSIG Insurance (Thailand) Co., Ltd., Installation Site MSIG Insurance (Thailand) Co., Ltd., Kwang, K"
AS138353,NIST INTERNATIONAL SCHOOL
AS138422,"Unit 3910 Tower 2, 39th Fl. Empire Tower Building, 1 Sathorn Sathorn Rd. Sathorn Bangkok 10120"
AS138427,Thailand Institute of Nuclear Technology (Public Organization)
AS138434,"INEXT Broadband Co., Ltd"
AS138466,"DataMossa Co., Ltd."
AS138494,"Campana TARO Co., Ltd."
AS138524,Triple T Broadband Public Company Limited
AS138547,Ubon Ratchathani Rajabhat University
AS138616,"Sanuk Systems (Thailand) Co., Ltd"
AS138618,Thanachart Securities Public Company Limited
AS138670,Ngern Tid Lor Company Limited
AS138685,Mahidol Wittayanusorn School
AS138691,Bangkok Airways Public Company Limited.
AS138906,Ministry of Culture
AS138962,Bangkok Insurance Public Company Limited
AS138967,"SineManage Network Service co.,Ltd"
AS139014,Next Route Company Limited
AS139082,Singha Estate Public Company Limited
AS139295,True Universal Convergence co. ltd
AS139313,AYUDHYA CAPITAL SERVICES COMPANY LIMITED
AS139329,Siam Piwat Company Limited
AS139339,"PT CONNECTION IT CO., LTD"
AS139591,National Telecom Public Company Limited
AS139657,University of the Thai Chamber of Commerce
AS139702,Central Investigation Bureau
AS139724,Tobacco Authority of Thailand
AS139753,"Valaya Alongkorn Rajabhat University Under The Royal Patronage,"
AS139889,Department of Fisheries
AS139892,Metropolitan Waterworks Authority
AS140032,United Overseas Bank (Thai) Public Company Limited
AS140075,Roi et Rajabhat University
AS140305,Apex Circuit (Thailand) Company Limited.
AS140326,Symphony Communication Public Company Limited for TC
AS140575,National Statistical Office
AS140618,Silpakorn University
AS140660,Satit Pattana School
AS140662,AEON Thana Sinsap (Thailand) Public Company Limited
AS140689,AIOI BANGKOK INSURANCE PCL.
AS140699,Royal Thai Army
AS140706,MAYBANK KIM ENG SECURITIES PTE. LTD
AS140725,Thai Customs Department
AS140867,"International gateway co., Ltd"
AS140918,CMKL University
AS140983,Dhipaya Insurance Public Co. Ltd.
AS140985,"Global Innovative Solution Co., LTD"
