ASN,Name
AS11947,Cablenett Limited
AS26317,Lisa Communications Ltd
AS263222,RVR INTERNATIONAL LIMITED
AS264811,AIR LINK COMMUNICATIONS
AS266792,NOVO COMMUNICATIONS LIMITED
AS270040,TRICO INDUSTRIES LIMITED
AS274008,INDEPENDENT CABLE NETWORK OF TRINIDAD & TOBAGO LIMITED
AS274045,CARIBBEAN LATIN AMERICA TECHNOLOGY LIMITED
AS27665,Columbus Communications Trinidad Limited.
AS27789,GREENDOT
AS27800,Digicel Trinidad and Tobago Ltd.
AS27924,AMPLIA COMMUNICATIONS LTD.
AS28067,The University of the West IndiesSt Augustine Camp
AS5639,Telecommunication Services of Trinidad and Tobago
AS61478,AIR LINK COMMUNICATIONS
