ASN,Name
AS12296,ADA-NET Internet ve Iletisim Hizmetleri Tic. A.S.
AS12444,TELNET TELEKOM HIZMETLERI ANONIM SIRKETI
AS12599,Atlas On-Line Iletisim Sistemleri ve Tic. A.S.
AS12729,HSBC BANK ANONIM SIRKETI
AS12735,TurkNet Iletisim Hizmetleri A.S.
AS12777,Eser Telekom Sanayi ve Ticaret A.S.
AS12794,AKBANK TAS
AS12840,ATP YAZILIM VE TEKNOLOJI A.S.
AS12861,Vestel Elektronik Sanayi ve Ticaret A.S.
AS12873,Strateji Menkul Degerler A.S.
AS12891,Genel Kurmay Baskanligi
AS12903,Turkiye Garanti Bankasi A.S.
AS12908,Sabanci University
AS12978,ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.
AS13102,Istanbul Bilgi Universitesi
AS13138,Turk Ekonomi Bankasi Anonim Sirketi
AS13204,TERA YATIRIM MENKUL DEGERLER A.S.
AS13278,TEI(TUSAS MOTOR SANAYI A.S.)
AS15464,Ihlas Net A.S.
AS15755,VERITEKNIK BILISIM BASIN VE YAYIN LIMITED SIRKETI
AS15819,Global Menkul Degerler SA
AS15843,Galatasaray Universitesi
AS15897,Vodafone Telekomunikasyon A.S.
AS15924,Vodafone Net Iletisim Hizmetler AS
AS16135,TURKCELL ILETISIM HIZMETLERI A.S.
AS1885,Seker Sigorta AS
AS196627,HEDEF GRUP SATIS DAGITIM SAN.VE TIC.A.S.
AS1967,Middle East Technical University
AS196733,Eskisehir Bilisim Iletisim San. ve Tic. A.S.
AS196971,BEYKOZ BELEDIYESI
AS197042,AKTIF YATIRIM BANKASI ANONIM SIRKETI
AS197143,Netcen Teknoloji Ltd. Sti
AS197386,ARAP TURK BANKASI ANONIM SIRKETI
AS197428,ROKO GAME TEKNOLOJI ANONIM SIRKETI
AS197450,Sunucun Bilgi Iletisim Teknolojileri ve Ticaret Ltd. Sti.
AS197597,AYTEMIZ AKARYAKIT DAGITIM A.S
AS197654,Eczacibasi Bilisim San.ve Tic. A.S.
AS197720,TURKTICARET.NET YAZILIM HIZMETLERI SAN. ve TIC. A.S.
AS197851,BURGAN YATIRIM MENKUL DEGERLER ANONIM SIRKETI
AS197871,MOBILIN TEKNOLOJI VE BILISIM LIMITED SIRKETI
AS197894,PRONET GUVENLIK HIZMETLERI ANONIM SIRKETI
AS197912,Aktek Bilgi Iletisim Teknolojisi Sanayi Ve Ticaret AS
AS197916,BIL-TIM BILGISAYAR HIZMETLERI ANONIM SIRKETI
AS197941,MENGERLER TICARET TURK ANONIM SIRKETI
AS197951,RIPE NCC ASN block
AS198120,Smart Host Teknoloji Ithalat Ihracat Limited Sirketi
AS198208,KKTC Telekom
AS198234,SOLFIKS INTERNET Hizmetleri ve Danismanlik Tic. Ltd. Sti.
AS198236,BILYONER INTERAKTIF HIZMETLER ANONIM SIRKETI
AS198325,Yeni Telekom Internet Hizmetleri Ltd. Sirketi
AS198410,Asilkan Soylemez
AS198417,DSM Grup Danismanlik Iletisim ve Satis Ticaret Anonim Sirketi
AS198436,GOLDSURF INTERNET LTD
AS198497,Sipay Elektronik Para ve Odeme Hizmetleri A.S.
AS198520,SahilNET Telekomunikasyon Hizmetleri Ltd. Sti.
AS198659,Tera Yatirim Bankasi A.S
AS198662,IREMNET TELEKOMUNIKASYON TEKNOLOJI SAN ve TIC LTD STI
AS198846,TTEN TEKNOLOJI A.S.
AS198970,VERIMOR TELEKOMUNIKASYON A.S.
AS199044,Viennalife Emeklilik ve Hayat Anonim Sirketi
AS199074,
AS199099,ERLION BILISIM LIMITED SIRKETI
AS199333,Yapi ve Kredi Bankasi Genel Mudurluk
AS199366,Yesilbir Bilisim Teknolojileri Bilgisayar Yayincilik Sanayi ve Ticaret Ltd. Sti.
AS199402,SIAFLEX Bilisim Anonim Sirketi
AS199419,LIMON BILGI TEKNOLOJILERI ANONIM SIRKETI
AS199484,Euronet Telekomunikasyon A.S.
AS199505,T.C. Aile ve Sosyal Politikalar Bakanligi
AS199515,PAYTEN TEKNOLOJI ANONIM SIRKETI
AS199531,Desem Turizm ve Ticaret Limited Sirketi
AS199608,Birbir Internet Teknolojileri Sanayi ve Ticaret Limited Sirketi
AS199724,TeknoDC Bilisim Teknolojileri A.S.
AS199797,Sentreva Internet Hizmetleri Anonim Sirketi
AS199812,KKB KREDI KAYIT BUROSU A.S.
AS199907,RADE Bilisim Anonim Sirketi
AS199924,Vera Byte Telekomunikasyon A.S.
AS199929,Emircan Apak
AS199972,NURHAN AKYUZ trading as AKYUZNET
AS200002,Verimek Telekomunikasyon San Ve Tic. Ltd. Sti.
AS200006,Efinans Elektronik Ticaret ve Bilisim Hizmetleri A.S.
AS200010,Olfe Veri Merkezi Anonim Sirketi
AS200016,Iyzi Odeme ve Elektronik Para Hizmetleri A.S.
AS200040,Netgigabit Iletisim Hizmetleri Ltd. Sti.
AS200075,ULTRANET INTERNET ILETISIM TEKNOLOJILERI SAN.VE TIC.LTD.STI.
AS200091,Osnet Internet Hizmetleri A.S.
AS200190,Owligo Bilisim Sistemleri A.S
AS200193,ITM Yazilim Bilgisayar Sistemleri ve Danismanlik Tic. Ltd. Sti
AS200239,Bogahost Bilisim ve Telekomunikasyon Hiz San ve Tic. Ltd. Sti
AS200283,Mehmet Fatih Gultekin trading as Senkronet Bilgisayar Destek Hizmetleri
AS200334,Alptekin Sunnetci
AS200344,BKM YAZILIM MUHENDISLIK INSAAT TURIZM SANAYI VE TICARET LIMITED SIRKETI
