ASN,Name
AS20294,MTN Uganda
AS21491,Uganda Telecom
AS29032,DATANET LLC
AS29039,ECHOTEL Proprietary Uganda
AS327687,Research and Education Network for Uganda
AS327724,National Information Technology Authority Uganda
AS327727,C-Squared Limited
AS328015,Sombha Solutions Store Limited
AS328102,Uganda Communications Commission
AS328118,East African Broadband Services Limited
AS328198,Blue Crane Communications (U) Ltd
AS328233,DFCU Bank Limited
AS328292,AGENT BANKING COMPANY OF UGANDA
AS328358,Makerere University
AS328408,HAMILTON TELECOM LIMITED
AS328462,National Social Security Fund
AS328616,Spidd Africa Ltd
AS328634,FINANCE TRUST BANK LIMITED
AS328707,Al Bayan Media Limited
AS328727,Simba Fiber Africa Limited
AS328754,DIAMOND TRUST BANK UGANDA LIMITED
AS328813,Uganda Christian University
AS328821,RAXIO DATA CENTRE SMC LIMITED
AS328939,Sprint Internet Limited
AS328998,Uganda Internet eXchange Point
AS329000,EQUITY BANK UGANDA LIMITED
AS329005,Crown Networks Limited
AS329128,M/s Housing Finance Bank Limited
AS329134,Guaranty Trust Bank (Uganda) Ltd
AS329253,Cheetahnet Solutions Limited
AS329374,Post Bank (Uganda) Limited
AS329396,Uganda Electricity Transmission Company Limited
AS329415,Savanna Fibre Limited
AS329531,TALKIO MOBILE LTD
AS329551,I&M Bank (Uganda) Limited
AS329569,CFTS.CO (U) LIMITED
AS329617,C-Squared Limited
AS329629,KILIMANJARO TELECOM COMPANY LIMITED
AS329669,National Identification and Registration Authority
AS329679,National Information Technology Authority Uganda
AS329684,HYDE INNOVATIONS LTD
AS329694,Uganda Registration Services Bureau
AS36901,DATANET.COM LLC
AS36977,Airtel Uganda Limited
AS37063,Roke Investments International Ltd
AS37075,Airtel Uganda Limited
AS37113,Tangerine Limited
AS37206,Central Bank of Uganda
AS37273,Bandwidth and Cloud Services Group Ltd
AS37408,National Water And Sewerage Corporation
AS37610,New Frontiers Technology Consult Limited
AS37679,Uganda Revenue Authority
AS37683,Centenary Rural Development Bank
