ASN,Name
AS12294,"PrJSC ""VF UKRAINE"""
AS12397,Optocom Ltd
AS12408,LLC Bi-Kent
AS12438,Enterpreneur Oshitjer Igor Anatolievich
AS12545,Transcom Ltd
AS12548,"Viaduk-Telecom, LLC"
AS12593,"LLC ""UKRCOM"""
AS12639,MARKASON LTD
AS12662,FOP Petrushenko Sergiy Petrovich
AS12687,User Association of Ukrainian Research and Academic Network URAN
AS12700,"Komertsiyno Virobnitcha Firma ""VEKTOR"" LLC"
AS12706,Public JSC First Ukrainian International Bank
AS12773,Meshnet ltd.
AS12788,"""NBI INTERNET"" LLC"
AS12803,TELECOM GROUP LLC
AS12837,"""1 CLOUD LAB"" LLC"
AS12883,"PRIVATE JOINT-STOCK COMPANY ""FARLEP-INVEST"""
AS12963,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY"
AS12986,Ukrspetskom LLC.
AS12998,BGNet LLC
AS13023,Weber Ltd
AS13027,Ukrainian National News Agency UKRINFORM
AS13032,Kyiv National Taras Shevchenko University
AS13053,LLC PRIOCOM
AS13107,PIK Ltd
AS13121,Lanet LLC
AS13188,CONTENT DELIVERY NETWORK LTD
AS13202,Production Company POLISAN Ltd.
AS13249,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP"""
AS13281,TOV Hotel Management
AS13307,"""AS6723"" LIMITED LIABILITY COMPANY"
AS15377,TRADITIONAL LLC
AS15461,"NVTOV ""SOLVER"""
AS15577,RISE LTD
AS15595,Skyline Electronics Ltd.
AS15596,VIRTUAL TELECOM LLC
AS15645,"DE ""Ukrainian Internet Exchange"" (UA-IX)"
AS15683,"""AS6723"" LIMITED LIABILITY COMPANY"
AS15713,LLC Global-City-Net
AS15738,TOV BF Express Ltd
AS15742,"JSC Commercial Bank ""PrivatBank"""
AS15785,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP"""
AS15800,COORDINATOR LTD
AS15895,"""Kyivstar"" PJSC"
AS16005,LLC CMSM
AS16007,"UKRAINIAN-AMERICAN-SWISS LIMITED LIABILITY PARTNERSHIP ""KANCOM"""
AS16044,IPORT UNITED LLC
AS16066,T.E.S.T. Ltd
AS16181,Merezha LLC
AS16213,"Tavria-V, Ltd."
AS16223,"MAXNET TELECOM, LTD"
AS16327,Pavlabor LTD
AS196632,"OJSC JOINT-STOCK BANK ""PIVDENNYI"""
AS196645,HOSTPRO LAB LLC
AS196740,Teleradiocompany TeleLan LLC
AS196758,PollyComm LTD
AS196777,SKORUK ANDRIY OLEKSANDROVYCH
AS196790,Institute of radio astronomy
AS196824,SE: Pugachevskaya Vera Vladimirovna
AS196829,Private entrepreneur Anastasiia Khyzha
AS196831,Bemobile L.L.C.
AS196851,Pavlo Oleksiyovich Maior
AS196863,"""HATANET"" Ltd"
AS196906,PE Brunarsky Andrey Romanovich
AS196924,PE Romanika Andriy Oleksandrovych
AS196934,"JSC ""AP BANK"""
AS196939,HOMENET IT LLC
AS196947,"""MASCODE"" LLC"
AS196953,PP Malta Plus
AS196957,Center of Information Technologies Kharkiv Online Subsidiary
AS196975,ELEKS Ltd.
AS196977,Private Entrepreneur Bubley Igor Yurievich
AS197002,OOO Tenor
AS197035,"TVIN-INET, LLC"
AS197058,Pimonenko Sergey
AS197067,"Private Joint Stock Company ""Insurance Company TAS"""
AS197073,FOP Chaika Nadija Jakivna
AS197125,Skorobahatko Anatoliy Dmytrovych
AS197131,Ketnet Telecom Ltd
AS197144,PP SVS Stream
AS197172,"""NICENET PLUS"" ltd."
AS197192,Private Enterprise KTV AIDA
AS197203,LLC Ukrainian Media Holding
AS197218,PP Dmutrashko Evgeny Vitalievich
AS197221,Beetec Telekom LLC
AS197222,Private Joint Stock Company RAMBURS
AS197228,"Science Production Company ""Aquasoft"" Ltd."
AS197241,Crypton-M LTD
AS197251,FOP TERESHCHENKO OLEKSANDR TROHUMOVICH
AS197254,Startnet LTD
AS197255,ZAT Televizijni kabelni merezhi Vsesvit
AS197263,PE TOTSKY OLEKSANDR VOLODYMYROVYCH
AS197278,FOP Getman Valentyn Borysovych
AS197287,Center for Satellite Television DonSatTV plus Ltd
AS197327,TZOV FAVORIT
AS197341,"Broadcasting, Radiocommunications and Television Concern"
AS197364,"Privately Owned Enterprise Industrial Commerce Company ""Raleda"""
AS197373,LLC IterCom
AS197388,"State enterprise ""Ukrainian Special Systems"""
AS197454,Oleg Volodymyrovych Sopachov
AS197481,TOV MAKARIVSKI MEREJI
AS197490,SIRIUS VP LLC
AS197501,Michkovskiy Ruslan
AS197512,"LLC ""STAR UKRAINE"""
AS197520,UnionCOM Ltd
AS197522,Kaluska informatsiyna merezha LLC
AS197554,ISP RIAD Ltd
AS197561,HOST VDS LLC
AS197563,"""GLOBALNET UA"" LLC"
AS197578,PE Alekseenko Igor Yurevich
AS197582,State Institution National Library of Ukraine for children
AS197602,"TeleRadioCompany ""Studio TV-9 Beregsasom"" Ltd."
AS197610,Concern Galnaftogaz PJSC
AS197643,DKT Ltd Television and Radio broadcasting company
AS197681,PE Savchin Igor Miroslavovich
AS197688,PE Melnik Yuriy Olegovich
AS197707,"Collective telephone company ""Veco"" Ltd."
AS197726,Ukrainian Internet Names Center LTD
AS197738,"PP ""Zastava Plus"""
