ASN,Name
AS11856,XC Technology Holdings LTD
AS12390,KCOM Group Limited
AS12488,Krystal Hosting Ltd
AS12496,Infinity Developments Limited
AS12519,FastNet International Ltd
AS12613,Firebrick Limited
AS12628,JACO ENGELBRECHT
AS12678,Badoo Trading Limited
AS12701,Barclays Bank plc
AS12703,Pulsant (Scotland) Ltd
AS1273,Vodafone Group PLC
AS12761,COLT Technology Services Group Limited
AS12775,JPC Infonet Ltd
AS12789,DMG Media Limited
AS12884,DRW Investments (UK) Limited
AS13002,ISIX Communications LLP
AS13005,Atlas Business Group of Companies Ltd
AS13009,Redcentric Solutions Ltd
AS13037,Zen Internet Ltd
AS131222,MTS India
AS13126,Satellite Mediaport Services Ltd.
AS13173,Foreshore Limited
AS13205,British Telecommunications PLC
AS13213,THG HOSTING LIMITED
AS13285,TalkTalk Communications Limited
AS134536,ATT NBE Equinix London
AS137037,VEBBLE PVT LTD.
AS137502,NOMINET UK
AS138177,NOMINET UK
AS142290,AGARTHA TELEKOM LTD
AS14670,WHG Hosting Services Ltd
AS148971,Keibiin's Holdings Limited
AS150325,TSUKUDANI NETWORK
AS15395,Rackspace Ltd.
AS15404,COLT Technology Services Group Limited
AS15412,Flag Telecom UK Limited
AS15418,Fasthosts Internet Limited
AS15490,Shane Mc Cormack
AS15510,Compuweb Communications Services Limited
AS15533,Redcentric Solutions Ltd
AS15570,PACKETFABRIC (UK) LTD
AS15572,Verizon UK Limited
AS15601,Baring Investment Services Ltd
AS15622,Frontline Consultancy and Business Services Limited
AS15641,Arqiva Communications Ltd
AS15654,Civica UK Ltd.
AS15689,Advanced IT Services Nottingham Ltd
AS15692,Razorblue Ltd
AS15752,BP International Ltd
AS15753,BP International Ltd
AS15768,WorldPay (UK) Limited
AS15770,Durham County Council
AS15865,Elliott Advisors UK (Ltd)
AS15914,British Airways plc
AS15992,Visa Europe Limited
AS16032,The Internet Business Ltd
AS16050,Refinitiv Limited
AS16082,Spitfire Network Services Limited
AS16096,The Sporting Exchange (Clients) Ltd
AS16164,Sohonet Limited
AS16174,Intuitiv Ltd.
AS16197,Innovanti Limited
AS16212,Telesat International Ltd
AS16224,Verizon UK Limited
AS16238,Telecom2 Ltd.
AS16247,M247 UK Ltd
AS16260,GTT - EMEA Ltd.
AS16303,IPSwitch Networks Ltd
AS16334,Sureline Communications Limited
AS16339,Virtual Internet (UK) Limited
AS16349,Fon Wireless LTD
AS16351,Juno Records Ltd
AS16353,Merula Limited
AS16376,SysGroup plc
AS196646,Datum Datacentres Limited
AS196674,Speedflow Communications Ltd
AS196741,DataArt Technologies UK Ltd
AS196744,Capita Business Services Ltd
AS196745,Datacenta Hosting Ltd
AS196778,Transport for London
AS196809,FremantleMedia Limited
AS196839,Amplefuture Group Limited
AS196881,Liberty-izone Ltd
AS196902,Dudley Metropolitan Borough Council
AS196962,NSI (Holdings) Limited
AS196990,Shawbrook Bank Limited
AS197039,Nomura International Plc
AS197104,Gentoo Group Limited
AS197106,T. Rowe Price International LTD
AS197107,SERVICE EXPRESS EUROPE LIMITED
AS197167,Euralb Ltd
AS197282,Wood Group UK Limited
AS197320,National Pharmacy Association Ltd
AS197342,PERSISTENT SYSTEMS UK LIMITED
AS197355,Stratos Markets Limited
AS197370,Nottinghamshire County Council
AS197387,The Sporting Exchange (Clients) Ltd
AS197407,CHINA UNICOM (EUROPE) OPERATIONS LIMITED
AS197409,Co-operative Group Limited
AS197560,Beeks Financial Cloud Ltd
AS197574,
AS197594,Redstor Limited
AS197613,Nicholas Marshall
AS197622,RIPE NCC ASN block
AS197651,FIC SHARECO LIMITED
AS197669,CloudCall LTD
AS197677,Mr David John Benwell
AS197685,Onionring Limited
AS197715,Serverbike LTD
AS197753,QuadV Ltd
AS197758,NXLayer Ltd
AS197860,Haruka Network Limited
AS197898,Integrated Digital Services Ltd
AS197958,NET DEFENCE LIMITED
AS198032,Cambridge Assessment
AS198037,SPACECORE SOLUTION LTD
AS198063,AWIN LTD
AS198071,Berch Solutions Limited
AS198075,
AS198104,StayConnected.Systems Ltd
AS198142,Warrington Borough Council
AS198174,Vean Networks Ltd
AS198189,Throttle Limited
AS198219,Charlie Camilleri
AS198220,Datapipe Europe Ltd
AS198222,West Herts College
AS198231,Sixnet Operation Ltd
AS198243,GLOBAL ENTRY SOLUTIONS LTD
AS198250,UPSTREAM NETWORK LTD
AS198276,Jordan Robert
AS198306,AIG Europe (Services) Limited
AS198312,Spectra Group (uk) Ltd
AS198328,Trayport Limited
AS198337,DataArt Technologies UK Ltd
AS198353,Mimeo Limited
AS198358,Katherine Levi
AS198362,NETH LTD
AS198375,
AS198386,THRIVE OPERATIONS LIMITED
AS198426,Voneus Ltd
AS198440,AllPoints Fibre Networks Limited
AS198466,J. MORBY
AS198472,Manchester City Council
AS198550,NODE HOST LIMITED
AS198554,8X8 UK Limited
AS198557,George French
AS198623,ISUMO Ltd
AS198628,FIDESSA TRADING UK LIMITED
AS198636,CAPSULA LTD
AS198652,Selectel LTD
AS198653,SOLARAPPS LTD
AS198657,Kai Gohegan
AS198685,LUNAR HOSTING LTD
AS198690,Fibrecast Ltd.
AS198723,University of Reading
AS198736,Stream Networks Ltd
AS198741,Amelia Kalinowska
AS198768,OASIS INFOTECH LIMITED
AS198781,Connect Managed Services (UK) Limited
AS198789,Speedy IP Services LTD
AS198798,
AS198801,Your Housing Group Ltd
AS198823,Network Integration Technologies LTD
AS198850,Hogarth Worldwide Limited
AS198863,Cambridge University Press (Holdings) Limited
AS198864,"Queen Mary and Westfield College, University of London"
AS198892,MIXCLOUD LTD
AS198895,Techade Ltd
AS198957,System Force I.T. Ltd
AS198981,NETSHIELD LTD
AS198990,Pine Hosting LTD
AS199058,SERVA ONE LTD
AS199109,Guy Fenn-Newbury
AS199111,GRAND CYAN LTD
AS199129,Direct Connect (ISP) Ltd
AS199131,City of York Council
AS199165,Shibboleet Ltd
AS199186,Daniel Thomas Atkinson
AS199204,Webmate Internet Services Ltd.
AS199262,Transport for London
AS199283,STRUCTURED COMMUNICATIONS LIMITED
AS199285,"Conarx, Ltd"
AS199286,Abtec Network Systems LTD
AS199301,RLE SOLUTIONS LTD
AS199330,CentralNic Ltd
AS199335,Talk Straight Ltd.
AS199349,SphereDent LTD
AS199379,Markerstudy Insurance Services Limited
AS199385,Midland Press Ltd
AS199398,RIPE NCC ASN block
AS199404,WHG Hosting Services Ltd
AS199423,RIPE NCC ASN block
AS199448,Babble Cloud Holdings Ltd.
AS199452,MS3 Networks Ltd
AS199455,Virgin WiFi Ltd
AS199456,VALID TECHNOLOGY L.P.
AS199462,NETISP LTD
AS199468,GRAIN COMMUNICATIONS LIMITED
AS199492,Easy Internet Solutions Limited
AS199516,PACKNET LIMITED
AS199519,Jack Brierley
AS199535,Bet Invest LTD
AS199542,Iomart Managed Services Limited
AS199548,UrSolutions Ltd
AS199550,
AS199569,Cognizant Worldwide Limited
AS199614,Fiberocity Ltd
AS199629,4MS Network Solutions Ltd.
AS199649,KTS Technology Group Limited
AS199654,Oxide Group Limited
AS199675,Willis Group Services Ltd
AS199686,Aaron Carson
AS199688,Critical Perfect Ltd
AS199706,Block Solutions Ltd
AS199710,DAZN MEDIA SERVICES LIMITED
AS199713,MLL Telecom Ltd.
AS199716,Bletchley Networks Limited
AS199717,Panoptics Global Ltd
AS199720,ICBC Standard Bank PLC
AS199738,VATORA LIMITED
AS199741,TRANSITX LTD
AS199764,Electronic Arts Limited
AS199775,Connexin Limited
AS199788,Motion Picture Solutions Limited
AS199794,EMOCLOUD LTD
AS199828,NUSO CLOUD UK LIMITED
AS199856,Ping Technology Labs LTD
AS199886,Shetland Broadband LLP
AS199909,ELITETELE.COM PLC
AS199946,Ctalk Limited
AS199948,Cosmorack Ltd
AS199954,Techwareca Ltd.
AS200008,Pirum Systems Limited
AS200027,RDA GROUP LIMITED
AS200052,Feral.io Ltd
AS200083,Sub 6 Limited
AS200104,Fergus Morris
AS200105,JUNGLELABS LTD
AS200113,Global Servers LTD
AS200124,FLEXTRADE UK LIMITED
AS200147,Hosting Techniques Limited
AS200151,SMEXINAST LTD
AS200164,The Random House Group Limited
AS200198,DSM (GB) Limited
AS200203,GLOBAL DATA BRIDGE INTERNATIONAL LIMITED
AS200251,Cineworld Cinemas Limited
AS200260,Debugged Ltd
AS200279,Thomas Douwes
AS200280,Cameron Sharp
AS200299,BaseServ Limited
AS200304,Everyday Communications LTD
AS200365,Possibly Lizards Limited
AS200371,Bentley-Walker Limited
AS200416,Genius Sports UK Limited
AS200418,Victor Connect Ltd.
AS200425,Genius Sports UK Limited
AS200455,HOTARU NETWORK LTD.
AS200468,ALVAREZ & MARSAL DISPUTES AND INVESTIGATIONS LLP
AS200469,FEMSTIOSROX LTD
AS200473,Samsung SDS Europe Ltd
AS200498,Perella Weinberg Partners UK LLP
AS200499,Enterprises Holding LTD
AS200508,SOROK76 LTD
AS200514,KnownSRV Ltd.
AS200552,Acklo Ltd
AS200581,TfW Fibre Ltd
AS200597,DIGITALK Limited
AS200623,NetBlazer Ltd
AS200636,Paravirt LTD
AS200642,Cavellon Ltd.
AS200652,Nuvias UC Limited
AS200658,CoreCloud Systems Ltd
AS200660,QONZER LTD
AS200675,NORTHERN DATA SERVICES (UK) LIMITED
AS200682,Trustees of the London Clinic Limited
AS200692,KLDiscovery Limited
AS200700,BMC TV LTD
AS200707,Integrated Digital Services Ltd
AS200708,Hugo Rodrigues Da Costa
AS200709,Flotek Group Limited
AS200740,FIRST SERVER LIMITED
AS200751,Entigy Ltd
