ASN,Name
AS14234,ZONAMERICA
AS1797,Uruguay
AS18667,Web2mil S.A
AS19422,Telefonica Moviles del Uruguay SA
AS20002,Telstar S.A.
AS20255,Tecnowind S.A.
AS264665,Servicio Central de Informatica - UdelaR (ccTLD .uy)
AS264845,LACNIC - Latin American and Caribbean IP address
AS264846,LACNIC - Latin American and Caribbean IP address
AS266886,HOSTING EN LA WEB S.A.S.
AS273002,TRACTORAL SOCIEDAD ANONIMA
AS273004,MONTE CABLEVIDEO S A
AS273012,RISELCO SOCIEDAD ANONIMA
AS273105,VCR VIDEO CABLE RIVERA S.A.
AS273115,PRAIAMAR SA
AS273854,TELEMAS SOCIEDAD ANONIMA
AS274012,TIME TOWER S.A.
AS274201,PARQUE DE LAS CIENCIAS S.A.
AS274238,TEVECA S R L
AS274302,Tecnowind S.A.
AS27750,CooperaciÃ³n Latino Americana de Redes Avanzadas
AS27913,Internet Systems Consortium
AS28000,LACNIC - Latin American and Caribbean IP address
AS28001,LACNIC - Latin American and Caribbean IP address
AS28002,LACNIC - Latin American and Caribbean IP address
AS28119,LACNIC - Latin American and Caribbean IP address
AS52224,LACNIC - Latin American and Caribbean IP address
AS52241,Lunamen S.A.
AS52366,Lunamen S.A.
AS6057,Administracion Nacional de Telecomunicaciones
AS61442,PASWER INTERNATIONAL S.A.
AS61447,Internet Systems Consortium
AS61455,LACTLD - LATIN AMERICAN AND CARIBBEAN TLD ASSOCIATION
AS64135,Ni Co
