ASN,Name
AS12365,JC LLC Sarkor-Telecom
AS197504,G-TELL Ltd
AS197661,LLC ONE-NET
AS197984,State Unitary Enterprise Scientific Engineering and Marketing Researches Center UNICON.UZ
AS198601,Inspired LLC
AS199528,"PE ""AVUBIS-INTERTAINMENT"""
AS199755,ACDN LLC
AS200204,A-ZZ-A Service Ltd.
AS200788,"LLC ""MAXEMEX"""
AS201767,"""Uzbektelekom"" Joint Stock Company"
AS201772,New Line Group Ltd
AS202175,"""Uzbektelekom"" Joint Stock Company"
AS202660,"""Uzbektelekom"" Joint Stock Company"
AS202763,INFORMATION TECHNOLOGY CENTER LLC JV
AS203553,Optel Plus Ltd.
AS203912,Orient Finance Bank PJSC
AS204336,Any Mobile Ltd.
AS205273,Teleport DC LLC FE
AS205635,JSC Octobank
AS205640,NOVA GROUP LLC
AS207154,PE Luseya Plyus
AS208831,
AS208870,Orient Group Management MChJ
AS209033,CityNet LTD
AS209078,AMUDARYO TONER LLC
AS21001,NETKA TELEKOM LLC
AS210390,Arsenal D Ltd.
AS210519,ToshTeleQabul MChJ
AS210774,Inha University in Tashkent
AS211403,NET ORION COMMUNICATIONS ltd
AS211433,Silver Telecom Ltd.
AS211914,AER-CA LLC
AS212082,"JSCB ""TBC Bank"""
AS212089,COMMON REPUBLICAN PROCESSING CENTER LLC
AS212444,LLC BROSS-TELECOM
AS212860,AIRNET llc
AS213029,PRO DATA-TECH MCHJ
AS213165,MYCLOUD LLC
AS213479,Cloupard LLC
AS213528,Milliy Banklararo Protsessing Markazi AJ
AS213951,Globe Cloud LLC
AS213963,RAH-SHAH MCHJ
AS214414,IPLUS LLC
AS214694,TVPLUS LLC
AS215028,ITGLOBALCOM U LLC
AS215222,Cable and mobile best service MCHJ
AS215237,Namangan Kelazhak Kabel Servis MCHJ
AS215677,VISOFT LLC
AS215940,TEZBULUT LLC
AS216023,EAST STARK-TV LLC
AS216087,JSCB Uzpromstroybank
AS216261,IPAK YOL MChJ
AS25389,Amaliy Aloqalar Biznesi Ltd.
AS28910,"""Uzbektelekom"" Joint Stock Company"
AS29385,BUZTON LLC
AS31203,Sharq Telekom CJSC
AS31492,UZSCINET
AS34250,"""Uzbektelekom"" Joint Stock Company"
AS34718,"""IST TELEKOM"" JV LLC"
AS35326,"""SUVAN NET"" LLC"
AS35682,BEST INTERNET SOLUTION XK
AS39032,"""IST TELEKOM"" JV LLC"
AS39231,"""Digital-Tel Net"" Ltd"
AS39568,ASIA WIRELESS GROUP MChJ QK
AS41177,PE Viktor Tele-Video Servis
AS41202,UNITEL LLC
AS42017,ARS-INFORM LLC
AS43060,IPLUS LLC
AS43268,Science Network Solution LLC
AS43533,"OOO ""Gals Telecom"""
AS43647,SERVERCORE CIS LLC
AS47141,Lit-Tel LLC
AS47726,INFOBOX MCHJ
AS47966,Koinot-Tv MChJ
AS48525,JSC Uzum Bank
AS48979,DAVLAT AXBOROT TIZIMLARINI YARATISH VA QO`LLAB QUVATLASH BO`YICHA YAGONA INTEGRATOR-UZINFOCOM LLC
AS49146,DosTLink Ltd
AS49273,COSCOM Liability Limited Company
AS49424,New Line Solutions LLC
AS49442,Solar Network Ltd.
AS49529,Duplex tel LLC
AS50025,Net Television Ltd
AS50729,Kron Telecom Network Ltd
AS50792,FC LLC Yangi-Group
AS51503,DANIEL GROUP TELECOM LLC
AS51508,Uzum Technologies FE LLC
AS56419,ASIA NETWORK MCHJ
AS57016,Inform-Service TV Ltd.
AS57764,Flink Ltd.
AS57975,ARTV Union Ltd.
AS58254,Nano Telecom LLC
AS58330,DP AlNet
AS59454,CONSORTIUM APPS LTD
AS59668,Turon Media XK
AS59706,"""RUBICON WIRELESS COMMUNICATION"" LLC"
AS61019,Mediabay Asia LLC
AS61106,PS Cloud Services LLC
AS61263,Modern store group LLC
AS62447,Miran Net 4155 MCHJ
AS64466,UNIVERSAL MOBILE SYSTEMS LCC
AS8193,"""Uzbektelekom"" Joint Stock Company"
