ASN,Name
AS10293,"CANTV Servicios, Venezuela"
AS11562,"Net Uno, C.A."
AS11694,Universidad Simon Bolivar
AS17287,Universidad de Carabobo
AS19192,Universidad Central de Venezuela
AS20312,FundaciÃ³n Centro Nacional de InnovaciÃ³n TecnolÃ³gica (CENIT)
AS21826,CorporaciÃ³n Telemic C.A.
AS21980,"Dayco Telecom, C.A."
AS22313,Supercable
AS22726,C.A. Vencemos
AS23007,Universidad de Los Andes
AS26194,"123.com.ve, C.A."
AS262176,BANCO EXTERIOR
AS262203,VenSites.com C.A.
AS263182,Seguros Mercantil
AS263223,SATELITES Y TELECOMUNICACIONES C.A
AS263701,"RGO SOMOS CABLE, C.A."
AS263703,VIGINET C.A
AS263767,"CORPORACIN GALA IT, C.A."
AS263771,"IP NET, C.A."
AS263806,"GALAXY ENTERTAINMENT DE VENEZUELA, S.C.A."
AS264628,"CORPORACION FIBEX TELECOM, C.A."
AS264660,MESH COMUNICACIONES C.A.
AS264731,Corporacion Digitel C.A.
AS264778,TotalCom Venezuela C.A.
AS264837,"CORPORACION VISUAL NUEVA ESPARTA, C.A"
AS264844,INVERSIONES FRITZ 78 C.A.(WIFI SOLUTION)
AS265633,Comunicaciones Galup C.A
AS265641,TELECOMUNICACIONES ROCARLI C.A (CIX BROADBAND)
AS265717,MULTISERVICIOS INTERMAX C.A.
AS266742,SOLUCIONES DCN NETWORK C.A
AS266809,"NERVICOM, C.A."
AS266841,GALANET SOLUTION C.A.
AS267693,PROYTEL CONNECTIONS C.A
AS267701,"Megadatta, C.A."
AS267722,INTERSPEED C.A.
AS267783,QUALCOM TELESISTEMAS C.A.
AS267789,TOP COMUNICATIONS ESTEGIA C.A.
AS267809,360NET C.A.
AS267811,FRESH TECHS C.A.
AS267813,"REPRESENTACIONES ABANET, C.A."
AS267840,"URBALINK NETWORKS, C.A."
AS267843,TCA SERVICES C.A.
AS267888,NODOS DE VENEZUELA C.A.(GLOBAL LINK)
AS267892,COMISION NACIONAL DE TELECOMUNICACIONES CONATEL (NICVE)
AS269730,TECNOVEN SERVICES CA
AS269732,WUIPI TECH CA
AS269738,"CHIRCALNET TELECOM, C.A."
AS269741,"INVERSIONES RED NET 2030, C.A"
AS269749,"NETCOM PLUS, C.A"
AS269750,Gandalf Comunicaciones C.A.
AS269771,"PRINTER-NET-SERVICE, C.A."
AS269782,NETWORK SPEED C.A
AS269788,DISTRIBUIDORA OFIC TECH DE VENEZUELA C.A.
AS269807,"SUMINISTROS OBRAS Y SISTEMAS, C.A."
AS269820,FULL DATA COMUNICACIONES C.A.
AS269829,MARACAIBO NET C.A
AS269832,MDS TELECOM C.A.
AS269846,"T.V ZAMORA, C.A."
AS269859,INFINITICS S.A.
AS269876,"SUMINISTROS PCWESTERN, CA (WestNet)"
AS269879,INTEGRACION DE TECNOLOGIAS MOVILES ITM C.A.
AS269891,"TELECOM.CORPORATIVAS TELECORP,C.A"
AS269901,MARAVECA TELECOMUNICACIONES C.A
AS269918,"SISTEMAS TELCORP, C.A."
AS269920,INVERSIONES RDN3 C.A.
AS269928,"TELECOMUNICACIONES RHJ, C. A."
AS269946,BOOM SOLUTIONS C.A.
AS269974,LAN-ONLINE C.A.
AS269984,"CORPORACION MATRIX TV, C.A."
AS270026,"RED SERVITEL, CA"
