ASN,Name
AS327904,Zambia Information and communication Technology Authority
AS328194,Copperbelt Energy Corporation Plc
AS328420,Bank of Zambia
AS328427,AirLink Broadband Limited
AS328570,Fibrecom Limited
AS328646,INFRATEL CORPORATION LIMITED
AS328665,Zambia Revenue Authority
AS328817,CITY CHANNELS CABLE NETWORK ZAMBIA LIMITED
AS329105,Lusaka Internet Exchange point
AS329383,NetOne Data Ltd
AS329444,BEELINE TELECOMS LIMITED
AS36959,AfriConnect Zambia Ltd
AS36962,MTN Zambia
AS37146,Hai Telecommunications Limited
AS37154,Zambia Telecommunications Company Ltd aka ZAMTEL
AS37185,iSAT Africa Zambia Ltd
AS37287,Zain Zambia PLC
AS37532,Zambia Research and Education Network (ZAMREN)
AS7420,Zamnet
