ASN,Name
AS21144,
AS31856,YoAfrica (Pvt) Ltd
AS327770,Telecel Zimbabwe
AS327863,University of Zimbabwe
AS327971,FBC Holdings
AS328088,NetOne Cellular (Private) Limited
AS328230,Hammer and Tongues Africa Holdings (Private) Limited
AS328235,Zimbabwe Internet Exchange
AS328269,IT Anywhere (Private) Limited
AS328291,Veritran (Private) Limited
AS329006,DFA Zimbabwe (Private) Limited
AS329232,Women's University in Africa
AS329271,Intramech Enterprises (Private) Limited
AS329376,Zimbabwe Research & Education Network
AS329425,Tagtel Communications (Pvt) Ltd
AS329540,African Banking Corporation of Zimbabwe Limited
AS329638,Bindura University of Science Education
AS36986,Africom Pvt Ltd
AS37024,YoAfrica (Pvt) Ltd
AS37123,Telecontract Pvt Ltd
AS37183,Utande Internet Services (Pvt) Ltd
AS37184,Powertel Communications
AS37189,YoAfrica (Pvt) Ltd
AS37204,Telone PVT Ltd
AS37329,Frampol Investments
AS37332,Zimbabwe Online
AS37344,ZIMBABWE OPEN UNIVERSITY
AS37485,Data Control and Systems
AS37568,National University of Science and Technology
