ASN,Prefix
AS131322,122.248.107.0/24
AS131322,122.248.108.0/24
AS131322,122.248.109.0/24
AS131322,122.248.110.0/24
AS131322,122.248.111.0/24
AS131322,203.81.167.0/24
AS131322,203.81.170.0/24
AS131322,61.4.64.0/24
AS131322,61.4.67.0/24
AS132038,103.42.115.0/24
AS132060,103.67.76.0/24
AS132060,103.67.77.0/24
AS132100,103.70.216.0/22
AS132100,182.255.52.0/22
AS132148,103.70.249.0/24
AS132148,103.81.113.0/24
AS132148,103.81.114.0/23
AS132148,103.81.114.0/24
AS132148,103.81.115.0/24
AS132148,103.84.100.0/23
AS132148,103.84.100.0/24
AS132148,103.84.101.0/24
AS132167,103.242.97.0/24
AS132167,103.242.98.0/24
AS132167,103.242.99.0/24
AS132167,43.224.84.0/23
AS132167,43.224.86.0/24
AS132167,69.160.0.0/21
AS132167,69.160.0.0/24
AS132167,69.160.1.0/24
AS132167,69.160.10.0/24
AS132167,69.160.11.0/24
AS132167,69.160.13.0/24
AS132167,69.160.14.0/24
AS132167,69.160.16.0/21
AS132167,69.160.16.0/24
AS132167,69.160.17.0/24
AS132167,69.160.18.0/23
AS132167,69.160.2.0/24
AS132167,69.160.20.0/23
AS132167,69.160.23.0/24
AS132167,69.160.24.0/21
AS132167,69.160.24.0/24
AS132167,69.160.25.0/24
AS132167,69.160.26.0/24
AS132167,69.160.27.0/24
AS132167,69.160.28.0/24
AS132167,69.160.29.0/24
AS132167,69.160.3.0/24
AS132167,69.160.30.0/23
AS132167,69.160.4.0/24
AS132167,69.160.5.0/24
AS132167,69.160.6.0/24
AS132167,69.160.7.0/24
AS132167,69.160.8.0/21
AS132167,69.160.8.0/23
AS132167,74.50.208.0/23
AS132167,74.50.210.0/24
AS132167,74.50.211.0/24
AS132167,74.50.212.0/23
AS132167,74.50.214.0/24
AS132167,74.50.215.0/24
AS132344,103.13.32.0/23
AS132344,103.71.248.0/22
AS132537,103.183.194.0/23
AS132537,45.192.22.0/23
AS132686,103.73.238.0/24
AS133384,103.231.92.0/24
AS133384,103.231.93.0/24
AS133384,103.231.94.0/24
AS133384,103.231.95.0/24
AS133384,103.25.240.0/23
AS133384,103.25.242.0/23
AS133384,204.157.172.0/24
AS133384,204.157.173.0/24
AS133384,204.157.174.0/24
AS133384,204.157.175.0/24
AS133384,38.47.47.0/24
AS133384,45.125.4.0/23
AS133384,45.125.6.0/24
AS133384,45.125.7.0/24
AS133385,103.255.172.0/22
AS133385,37.111.0.0/20
AS133385,37.111.124.0/22
AS133385,37.111.32.0/24
AS133385,37.111.34.0/24
AS133385,37.111.40.0/22
AS133385,37.111.41.0/24
AS133385,37.111.43.0/24
AS133385,37.111.44.0/24
AS133385,37.111.46.0/24
AS133385,37.111.48.0/22
AS133385,37.111.48.0/24
AS133385,37.111.52.0/23
AS133385,37.111.56.0/24
AS133385,37.111.60.0/24
AS133385,37.111.63.0/24
AS133385,37.111.8.0/21
AS133385,37.111.85.0/24
AS133385,37.111.86.0/24
AS133385,37.111.87.0/24
AS133385,37.111.88.0/24
AS133385,45.120.84.0/22
AS133433,103.227.26.0/24
AS133433,103.227.27.0/24
AS133440,103.94.144.0/24
AS133524,103.233.204.0/22
AS133524,103.25.76.0/24
AS133524,103.25.77.0/24
AS133524,103.25.78.0/24
AS133524,103.25.79.0/24
AS133524,103.29.90.0/24
AS133524,103.29.91.0/24
AS133524,154.18.223.0/24
AS133524,185.133.212.0/23
AS133524,185.133.214.0/24
AS133524,185.133.215.0/24
AS133524,204.157.168.0/24
AS133524,204.157.169.0/24
AS133524,204.157.170.0/23
AS133524,38.47.40.0/22
AS133524,38.47.44.0/23
AS133524,38.47.46.0/24
AS133524,43.242.134.0/23
AS133524,43.245.44.0/24
AS133524,43.245.45.0/24
AS133524,43.245.46.0/24
AS133524,43.245.47.0/24
AS134105,103.52.228.0/22
AS134484,103.197.156.0/24
AS134484,103.197.157.0/24
AS134528,103.155.10.0/24
AS134714,103.197.196.0/23
AS134714,103.197.198.0/24
AS134714,103.197.199.0/24
AS134736,103.198.148.0/22
AS134736,103.198.148.0/24
AS134736,103.198.151.0/24
AS134736,59.153.108.0/22
AS134736,59.153.108.0/24
AS134736,59.153.109.0/24
AS134736,59.153.110.0/24
AS134739,103.138.253.0/24
AS134739,103.200.132.0/22
AS134739,103.200.133.0/24
AS134739,103.200.134.0/24
AS134739,103.200.135.0/24
AS134739,121.54.164.0/22
AS134739,121.54.164.0/24
AS134739,121.54.165.0/24
AS134739,121.54.166.0/24
AS134739,121.54.167.0/24
AS134739,185.205.140.0/23
AS134739,185.205.142.0/24
AS134739,45.64.72.0/24
AS134739,45.64.73.0/24
AS134840,103.203.132.0/24
AS134840,103.203.133.0/24
AS134840,103.203.134.0/24
AS134840,103.203.135.0/24
AS134840,103.237.112.0/24
AS134840,103.237.113.0/24
AS134840,103.237.114.0/24
AS134840,103.237.115.0/24
AS134840,103.57.204.0/24
AS134840,103.57.205.0/24
AS134840,103.57.206.0/24
AS134840,103.57.207.0/24
AS134840,116.206.120.0/22
AS134840,116.206.192.0/24
AS134840,116.206.193.0/24
AS134840,116.206.194.0/24
AS134840,116.206.195.0/24
AS134840,121.46.71.0/24
AS134840,180.235.116.0/24
AS134840,180.235.117.0/24
AS134840,180.235.118.0/24
AS134840,180.235.119.0/24
AS134976,103.204.100.0/22
AS134976,202.53.156.0/22
AS135111,103.110.196.0/22
AS135111,103.110.196.0/24
AS135149,103.47.185.0/24
AS135300,103.116.12.0/24
AS135300,103.133.242.0/24
AS135300,103.133.243.0/24
AS135300,103.213.30.0/24
AS135300,117.55.248.0/24
AS135300,117.55.249.0/24
AS135300,117.55.250.0/24
AS135300,117.55.251.0/24
AS135300,117.55.252.0/24
AS135300,45.192.136.0/22
AS135300,45.192.140.0/23
AS135300,45.192.142.0/24
AS135300,45.192.143.0/24
AS135300,45.196.69.0/24
AS135307,103.113.84.0/23
AS135307,103.113.86.0/24
AS135307,103.113.87.0/24
AS135307,103.213.228.0/24
AS135307,103.76.179.0/24
AS135307,103.76.184.0/23
AS135371,103.215.192.0/22
AS135371,103.215.192.0/23
AS135371,103.215.194.0/24
AS135371,103.215.195.0/24
AS135371,157.119.76.0/22
AS135371,157.119.76.0/24
AS135371,157.119.78.0/24
AS135371,157.119.79.0/24
AS135405,103.135.216.0/24
AS135405,103.135.217.0/24
AS135405,103.135.218.0/24
AS135405,103.135.219.0/24
AS135405,103.217.156.0/24
AS135405,103.217.157.0/24
AS135405,103.217.158.0/24
AS135405,103.217.159.0/24
AS135405,38.225.238.0/23
AS135405,38.83.17.0/24
AS135405,38.83.18.0/24
AS135405,45.195.135.0/24
AS135405,45.199.180.0/24
AS135427,103.219.108.0/23
AS135427,45.250.201.0/24
AS135427,45.250.203.0/24
AS135433,103.219.156.0/22
AS135433,103.219.157.0/24
AS135433,103.219.158.0/23
AS135433,45.250.240.0/22
AS135433,45.250.240.0/24
AS135433,45.250.241.0/24
AS135589,103.129.76.0/23
AS135589,103.129.78.0/24
AS135589,103.129.79.0/24
AS135589,103.13.35.0/24
AS136168,103.82.232.0/24
AS136168,103.96.230.0/23
AS136168,103.96.232.0/24
AS136168,123.253.228.0/22
AS136177,103.83.34.0/23
AS136177,103.83.35.0/24
AS136210,103.149.50.0/24
AS136210,103.149.51.0/24
AS136210,103.83.188.0/24
AS136210,103.83.189.0/24
AS136210,103.83.190.0/24
AS136210,103.83.191.0/24
AS136210,202.157.190.0/24
AS136210,202.157.191.0/24
AS136229,103.131.86.0/24
AS136229,103.131.87.0/24
AS136255,103.23.132.0/22
AS136255,103.23.132.0/24
AS136255,103.23.133.0/24
AS136255,103.85.104.0/22
AS136255,103.85.104.0/24
AS136255,103.85.105.0/24
AS136255,103.85.106.0/24
AS136255,103.85.107.0/24
AS136255,117.18.228.0/22
AS136255,117.18.228.0/24
AS136255,117.18.230.0/24
AS136255,120.88.32.0/20
AS136255,120.88.34.0/24
AS136255,120.88.35.0/24
AS136255,146.88.41.0/24
AS136255,202.165.80.0/20
AS136255,202.165.80.0/22
AS136255,202.165.80.0/24
AS136255,202.165.82.0/24
AS136255,202.165.84.0/24
AS136255,202.165.86.0/24
AS136255,202.165.87.0/24
AS136255,202.165.88.0/22
AS136255,202.165.88.0/24
AS136255,202.165.89.0/24
AS136255,202.165.90.0/24
AS136255,202.165.91.0/24
AS136255,202.165.92.0/24
AS136255,202.165.93.0/24
AS136255,202.165.95.0/24
AS136255,202.191.101.0/24
AS136255,202.191.102.0/24
AS136255,202.191.104.0/24
AS136255,202.191.105.0/24
AS136255,202.191.106.0/24
AS136255,202.191.107.0/24
AS136255,202.191.109.0/24
AS136255,202.191.110.0/24
AS136255,202.191.111.0/24
AS136255,202.191.96.0/20
AS136255,202.191.96.0/24
AS136255,202.191.97.0/24
AS136255,202.191.98.0/23
AS136255,27.109.116.0/23
AS136255,27.109.118.0/23
AS136255,27.109.118.0/24
AS136255,43.231.64.0/22
AS136255,43.231.65.0/24
