ASN,Prefix
AS12529,193.169.190.0/24
AS12529,193.169.191.0/24
AS15505,192.162.73.0/24
AS15505,192.162.75.0/24
AS15505,195.66.128.0/23
AS15505,195.66.129.0/24
AS196848,195.182.31.0/24
AS197247,46.29.80.0/23
AS197858,141.11.63.0/24
AS197989,46.18.160.0/24
AS197994,213.136.192.0/21
AS198406,77.232.176.0/21
AS198406,77.232.178.0/23
AS198406,77.232.180.0/23
AS198795,103.73.32.0/24
AS198795,195.14.19.0/24
AS198795,46.31.69.0/24
AS200025,185.39.36.0/22
AS200025,185.39.36.0/24
AS200025,185.39.38.0/24
AS200366,103.76.166.0/23
AS200852,185.93.198.0/23
AS200852,193.239.208.0/24
AS200852,212.46.63.0/24
AS201484,195.88.204.0/24
AS201484,195.88.205.0/24
AS201628,217.180.55.0/24
AS201768,78.93.168.0/21
AS201768,86.60.44.0/23
AS201769,185.114.68.0/24
AS201769,212.93.196.0/24
AS201769,78.93.50.0/24
AS201771,134.239.12.0/24
AS201771,134.239.128.0/19
AS201771,134.239.192.0/22
AS201771,134.239.8.0/24
AS201771,46.49.128.0/24
AS201771,46.49.133.0/24
AS201771,46.49.138.0/24
AS201771,46.49.150.0/23
AS201771,46.49.154.0/24
AS201771,46.49.157.0/24
AS201771,46.49.159.0/24
AS201771,46.49.186.0/24
AS201771,46.49.192.0/24
AS201771,46.49.200.0/22
AS201771,46.49.209.0/24
AS201771,46.49.211.0/24
AS201771,95.177.146.0/23
AS201771,95.177.150.0/23
AS201771,95.177.154.0/24
AS201771,95.177.160.0/19
AS202105,185.108.240.0/24
AS202105,185.108.242.0/24
AS202105,185.108.243.0/24
AS202105,185.11.120.0/24
AS202105,185.11.121.0/24
AS202105,185.11.122.0/24
AS202105,185.11.123.0/24
AS202105,185.133.84.0/22
AS202105,185.164.20.0/24
AS202105,185.164.21.0/24
AS202105,185.164.22.0/23
AS202105,185.164.24.0/24
AS202105,185.164.25.0/24
AS202105,185.164.26.0/24
AS202105,185.164.28.0/24
AS202105,185.164.29.0/24
