ASN,Prefix
AS154147,49.213.46.0/23
AS15802,104.109.251.0/24
AS15802,149.24.28.0/24
AS15802,160.83.52.0/23
AS15802,184.25.205.0/24
AS15802,213.132.32.0/19
AS15802,23.194.192.0/22
AS15802,37.218.224.0/23
AS15802,46.19.77.0/24
AS15802,46.19.78.0/23
AS15802,5.30.0.0/15
AS15802,5.30.8.0/22
AS15802,5.31.96.0/19
AS15802,5.32.0.0/17
AS15802,80.227.0.0/16
AS15802,87.200.0.0/15
AS15802,91.72.0.0/14
AS15802,91.75.224.0/19
AS15802,94.200.0.0/13
AS15802,94.200.192.0/19
AS15802,94.200.224.0/19
AS15802,94.206.128.0/19
AS15802,94.206.21.0/24
AS197024,194.117.51.0/24
AS197703,132.243.30.0/23
AS197703,135.136.182.0/23
AS198077,192.142.12.0/24
AS198077,192.142.8.0/24
AS198247,103.244.134.0/23
AS198247,103.27.21.0/24
AS198247,103.85.129.0/24
AS198247,116.58.7.0/24
AS198247,119.160.236.0/23
AS198247,119.160.238.0/24
AS198247,141.105.160.0/23
AS198247,156.238.84.0/24
AS198247,175.111.14.0/23
AS198247,175.111.2.0/24
AS198247,175.111.7.0/24
AS198247,185.12.25.0/24
AS198247,185.203.228.0/22
AS198247,185.243.13.0/24
AS198247,185.26.24.0/24
AS198247,185.60.176.0/24
AS198247,195.94.28.0/24
AS198247,203.171.126.0/24
AS198247,43.225.96.0/24
AS198247,82.180.176.0/24
AS198381,103.244.132.0/23
AS198381,103.255.128.0/23
AS198381,103.255.130.0/24
AS198381,103.27.23.0/24
AS198381,105.235.214.0/23
AS198381,116.58.5.0/24
AS198381,116.58.6.0/24
AS198381,141.105.162.0/23
AS198381,175.111.1.0/24
AS198381,175.111.12.0/23
AS198381,175.111.8.0/22
AS198381,185.12.27.0/24
AS198381,185.31.188.0/22
AS198381,196.41.54.0/23
AS198381,197.148.88.0/22
AS198381,197.220.120.0/24
AS198381,204.157.157.0/24
AS198381,41.188.168.0/24
AS198381,80.84.136.0/24
AS198381,80.84.145.0/24
AS198381,80.84.149.0/24
AS198394,141.105.164.0/23
AS198394,195.94.27.0/24
AS198394,195.94.29.0/24
AS198394,197.148.92.0/22
AS198394,216.104.203.0/24
AS198394,80.84.146.0/24
AS198394,84.17.74.0/24
AS198398,185.184.20.0/22
AS198398,194.110.155.0/24
AS198398,95.156.216.0/22
AS198503,91.235.159.0/24
AS198504,103.255.131.0/24
AS198504,116.0.47.0/24
AS198504,141.105.166.0/23
AS198504,185.19.80.0/23
AS198504,185.19.83.0/24
AS198504,195.94.26.0/24
AS198504,203.171.127.0/24
AS198504,43.225.97.0/24
AS198504,45.222.103.0/24
AS198504,80.84.147.0/24
AS198504,84.17.73.0/24
AS198566,163.5.192.0/24
AS198566,185.136.242.0/24
AS198566,195.216.184.0/24
AS198566,31.171.214.0/24
AS198566,46.20.111.0/24
AS198566,80.71.224.0/24
AS198566,81.29.144.0/24
AS198566,81.29.151.0/24
AS198630,164.37.44.0/23
AS199739,169.224.0.0/17
AS199739,169.224.0.0/22
AS199739,169.224.10.0/24
AS199739,169.224.100.0/24
AS199739,169.224.104.0/22
AS199739,169.224.112.0/22
AS199739,169.224.116.0/22
AS199739,169.224.12.0/22
AS199739,169.224.120.0/22
AS199739,169.224.14.0/23
AS199739,169.224.17.0/24
AS199739,169.224.18.0/23
AS199739,169.224.20.0/23
AS199739,169.224.24.0/23
AS199739,169.224.26.0/23
AS199739,169.224.28.0/23
AS199739,169.224.30.0/23
AS199739,169.224.31.0/24
AS199739,169.224.32.0/22
AS199739,169.224.36.0/23
AS199739,169.224.38.0/23
AS199739,169.224.4.0/23
AS199739,169.224.40.0/22
AS199739,169.224.48.0/21
AS199739,169.224.48.0/22
AS199739,169.224.58.0/23
AS199739,169.224.59.0/24
AS199739,169.224.6.0/23
AS199739,169.224.60.0/23
AS199739,169.224.62.0/23
AS199739,169.224.62.0/24
AS199739,169.224.64.0/22
AS199739,169.224.66.0/23
AS199739,169.224.72.0/24
AS199739,169.224.73.0/24
AS199739,169.224.8.0/23
AS199739,169.224.80.0/22
AS199739,169.224.86.0/23
AS199739,169.224.88.0/22
AS199739,169.224.96.0/22
AS199739,185.239.16.0/22
AS199739,185.239.16.0/24
AS199739,185.239.17.0/24
AS199739,185.239.18.0/23
AS199739,37.236.19.0/24
AS199739,37.236.192.0/24
AS199739,37.236.240.0/20
AS199739,37.236.8.0/24
AS199739,37.236.80.0/24
AS199739,37.237.0.0/19
AS199739,37.237.0.0/20
AS199739,37.237.147.0/24
AS199739,37.237.16.0/24
AS199739,37.237.17.0/24
AS199739,37.237.18.0/23
AS199739,37.237.184.0/21
AS199739,37.237.184.0/22
AS199739,37.237.188.0/24
